Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
21.04.40456,Pulau Pengal Tengah,,"00°16'05.72"" U 104°25'59.21"" T",TBP
21.04.40457,Pulau Penganak Batang Besar,,"00°18'13.54"" U 104°22'05.46"" T",
21.04.40458,Pulau Penganak Gantung,,"00°17'15.70"" U 104°20'46.28"" T",
21.04.40459,Pulau Pengelap,,"00°36'38.41"" S 104°15'10.40"" T",TBP
21.04.40460,Pulau Pengeleh,,"00°10'36.35"" U 104°23'04.70"" T",TBP
21.04.40461,Pulau Penyalong,,"00°18'46.90"" U 104°18'02.00"" T",TBP
21.04.40462,Pulau Penyaman,,"01°16'23.80"" S 105°15'35.64"" T",TBP
21.04.40463,Pulau Pepas,,"00°04'56.67"" U 104°37'30.50"" T",TBP
21.04.40464,Pulau Perangoi,,"00°07'55.53"" U 104°30'45.77"" T",
21.04.40465,Pulau Peridi,,"00°18'12.67"" U 104°26'31.74"" T",TBP
21.04.40466,Pulau Periuk,,"00°16'05.67"" U 104°29'13.99"" T",TBP
21.04.40467,Pulau Petai,,"00°07'18.19"" U 104°29'54.20"" T",BP
21.04.40468,Pulau Pompong,,"00°22'15.70"" U 104°15'30.09"" T",TBP
21.04.40469,Pulau Pongok,,"00°09'10.76"" S 104°44'52.72"" T",BP
21.04.40470,Pulau Porok,,"00°37'59.88"" S 104°20'19.46"" T",TBP
21.04.40471,Pulau Porok Kecik,,"00°37'53.72"" S 104°20'30.60"" T",TBP
21.04.40472,Pulau Posek,,"00°22'41.55"" S 104°12'09.00"" T",BP
21.04.40473,Pulau Potot,,"00°00'06.00"" U 104°30'27.21"" T",TBP
21.04.40474,Pulau Prayon Besar,,"00°17'21.26"" U 104°24'18.21"" T",TBP
21.04.40475,Pulau Prayon Kecik,,"00°17'09.60"" U 104°24'01.00"" T",TBP
21.04.40476,Pulau Puakanibung,,"00°02'47.07"" S 104°41'22.05"" T",TBP
21.04.40477,Pulau Pucung,,"00°15'18.97"" S 104°35'08.30"" T",TBP
21.04.40478,Pulau Pucung,,"01°13'44.93"" S 105°14'51.47"" T",
21.04.40479,Pulau Puding,,"00°14'56.68"" U 104°29'01.27"" T",TBP
21.04.40480,Pulau Pukau,,"00°35'30.45"" S 104°25'44.42"" T",TBP
21.04.40481,Pulau Pulak,,"00°27'17.37"" S 104°15'17.86"" T",TBP
21.04.40482,Pulau Pulon,,"00°09'15.04"" S 104°27'06.99"" T",BP
21.04.40483,Pulau Punai,,"00°13'33.92"" U 104°21'23.29"" T",TBP
21.04.40484,Pulau Pusa,,"00°08'07.00"" U 104°28'44.11"" T",TBP
21.04.40485,Pulau Ranggas,,"00°10'02.10"" U 104°35'34.43"" T",TBP
21.04.40486,Pulau Ranggas Kecik,,"00°09'38.32"" U 104°35'55.50"" T",TBP
21.04.40487,Pulau Rapang,,"00°23'03.99"" S 104°16'01.99"" T",TBP
21.04.40488,Pulau Rapat,,"00°10'01.25"" U 104°29'15.66"" T",TBP
21.04.40489,Pulau Rejai,,"00°08'56.65"" U 104°28'05.00"" T",BP
21.04.40490,Pulau Rekas,,"00°04'58.44"" U 104°29'28.46"" T",TBP
21.04.40491,Pulau Rekon,,"00°19'29.63"" U 104°25'44.70"" T",TBP
21.04.40492,Pulau Reman Besar,,"00°18'45.72"" U 104°26'34.80"" T",TBP
21.04.40493,Pulau Reman Kecik,,"00°18'34.02"" U 104°26'51.36"" T",TBP
21.04.40494,Pulau Riding,,"00°18'20.05"" U 104°25'44.43"" T",TBP
21.04.40495,Pulau Sagai,,"00°10'12.75"" U 104°23'52.68"" T",TBP
