K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
35,JAWA TIMUR,,,,,,,
35.79,KOTA BATU,,,3,5,19,"194,170","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
35.79.01,,,,1Batu,4,4,,
35.79.01.1001,,,,,1Temas,,,
35.79.01.1002,,,,,2Ngaglik,,,
35.79.01.1003,,,,,3Songgokerto,,,
35.79.01.1004,,,,,4Sisir,,,
35.79.01.2005,,,,,,1 Sumberejo,,
35.79.01.2006,,,,,,2 Oro-oro Ombo,,
35.79.01.2007,,,,,,3 Sidomulyo,,
35.79.01.2008,,,,,,4 Pesanggrahan,,
35.79.02,,,,2Bumiaji,-,9,,
35.79.02.2001,,,,,,1 Punten,,
35.79.02.2002,,,,,,2 Gunungsari,,
35.79.02.2003,,,,,,3 Tulungrejo,,
35.79.02.2004,,,,,,4 Sumbergondo,,
35.79.02.2005,,,,,,5 Pandanrejo,,
35.79.02.2006,,,,,,6 Bumiaji,,
35.79.02.2007,,,,,,7 Giripurno,,
35.79.02.2008,,,,,,8 Bulukerto,,
35.79.02.2009,,,,,,9 Sumberbrantas,,Perda No. 6/2007
35.79.03,,,,3Junrejo,1,6,,
35.79.03.1001,,,,,1Dadaprejo,,,Perubahan status Perda No. 13/2010
35.79.03.2002,,,,,,1 Beji,,
35.79.03.2003,,,,,,2 Junrejo,,
35.79.03.2004,,,,,,3 Tlekung,,
35.79.03.2005,,,,,,4 Mojorejo,,
35.79.03.2006,,,,,,5 Pendem,,
35.79.03.2007,,,,,,6 Torongrejo,,
