Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
21.04.40376,Pulau Mayautang,,"00°18'17.71"" U 104°18'21.78"" T",TBP
21.04.40377,Pulau Medang,,"00°21'56.66"" U 104°25'37.70"" T",BP
21.04.40378,Pulau Meladung,,"00°07'51.85"" S 104°28'47.24"" T",TBP
21.04.40379,Pulau Meladung Kecik,,"00°07'46.73"" S 104°28'45.85"" T",TBP
21.04.40380,Pulau Melah,,"00°19'22.82"" S 104°29'44.57"" T",
21.04.40381,Pulau Mempanak,,"00°19'08.49"" S 104°51'54.35"" T",TBP
21.04.40382,Pulau Menaung,,"00°07'05.99"" U 104°30'51.66"" T",TBP
21.04.40383,Pulau Menggalang,,"00°17'05.65"" S 104°38'59.69"" T",TBP
21.04.40384,Pulau Mengkuang,,"00°08'47.97"" U 104°29'17.84"" T",TBP
21.04.40385,Pulau Menjolok,,"00°18'02.00"" U 104°20'13.66"" T",TBP
21.04.40386,Pulau Menjolok Kecil,,"00°18'02.99"" U 104°20'25.00"" T",
21.04.40387,Pulau Mensanak,,"00°24'45.93"" U 104°31'35.25"" T",TBP
21.04.40388,Pulau Mensemut,,"00°07'07.27"" S 105°00'15.44"" T",BP
21.04.40389,Pulau Mentigi,,"00°19'15.76"" S 104°29'36.10"" T",TBP
21.04.40390,Pulau Mentigi,,"01°13'46.11"" S 105°14'41.52"" T",
21.04.40391,Pulau Mentigi Kukur,,"00°00'47.97"" S 104°39'21.11"" T",
21.04.40392,Pulau Mentigiselinsing,,"00°18'02.59"" S 104°07'24.45"" T",TBP
21.04.40393,Pulau Mentulat,,"00°04'55.85"" S 104°39'50.17"" T",TBP
21.04.40394,Pulau Mentutu,,"00°01'21.00"" U 104°31'59.99"" T",
21.04.40395,Pulau Mepar,,"00°15'32.40"" S 104°35'20.47"" T",BP
21.04.40396,Pulau Merang,,"00°26'49.16"" U 104°22'24.87"" T",TBP
21.04.40397,Pulau Meratik,,"00°17'55.01"" S 105°01'14.84"" T",TBP
21.04.40398,Pulau Merodong,,"00°23'45.92"" U 104°26'45.88"" T",TBP
21.04.40399,Pulau Metigi,,"00°02'05.66"" S 104°50'20.84"" T",
21.04.40400,Pulau Mubun,,"00°21'27.75"" S 104°25'07.00"" T",TBP
21.04.40401,Pulau Mubut,,"00°01'30.50"" U 104°32'33.93"" T",TBP
21.04.40402,Pulau Muci,,"00°30'56.89"" S 104°02'14.96"" T",TBP
21.04.40403,Pulau Mulan,,"00°18'26.64"" U 104°18'13.17"" T",TBP
21.04.40404,Pulau Mutus,,"00°02'39.22"" S 104°41'18.06"" T",TBP
21.04.40405,Pulau Nenas,,"00°23'34.44"" U 104°26'19.68"" T",TBP
21.04.40406,Pulau Nia,,"00°18'54.87"" U 104°26'24.68"" T",TBP
21.04.40407,Pulau Nibung,,"00°20'24.31"" U 104°18'03.27"" T",TBP
21.04.40408,Pulau Nibung,,"00°21'11.23"" S 104°12'23.29"" T",TBP
21.04.40409,Pulau Noja,,"00°21'16.52"" S 104°15'53.82"" T",BP
21.04.40410,Pulau Nopong,,"00°29'02.00"" U 104°22'58.22"" T",BP
21.04.40411,Pulau Nopong Kecil,,"00°28'38.21"" U 104°22'52.13"" T",
21.04.40412,Pulau Nyamuk,,"00°20'34.80"" U 104°33'28.04"" T",TBP
21.04.40413,Pulau Nyamuk,,"00°45'45.61"" S 104°56'24.39"" T",TBP
21.04.40414,Pulau Nyel,,"00°13'36.52"" U 104°23'03.50"" T",TBP
21.04.40415,Pulau Nyirihsayak,,"00°46'04.00"" S 104°56'21.80"" T",TBP
