NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
III,13,SUMATERA BARAT,,12,7,179,230,1035,42.120,5.624.143,
,13.01,1 KAB. PESISIR SELATAN,Painan,,,15,0,182,6.046,516.600,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,13.01.01,1 Pancung Soal,,,,,,10,,,
,13.01.02,2 Ranah Pesisir,,,,,,10,,,
,13.01.03,3 Lengayang,,,,,,9,,,
,13.01.04,4 Batang Kapas,,,,,,9,,,
,13.01.05,5 IV Jurai,,,,,,20,,,
,13.01.06,6 Bayang,,,,,,17,,,
,13.01.07,7 Koto XI Tarusan,,,,,,23,,,
,13.01.08,8 Sutera,,,,,,12,,,
,13.01.09,9 Linggo Sari Baganti,,,,,,16,,,
,13.01.10,10 Lunang,,,,,,10,,,"Perubahan nama dari Kec. Lunang Silaut menjadi Kec. Lunang, Perda
No. 10/2012"
,13.01.11,11 Basa Ampek Balai Tapan,,,,,,10,,,
,13.01.12,12 IV Nagari Bayang Utara,,,,,,6,,,Perda No. 3/2004
,13.01.13,13 Airpura,,,,,,10,,,"Pemekaran sebagian wil Kec. Pancung Soal, Perda No. 7/2012"
,13.01.14,14 Ranah Ampek Hulu Tapan,,,,,,10,,,"Pemekaran sebagian wil Kec. Basa Ampek Balai Tapan, Perda No.
8/2012"
,13.01.15,15 Silaut,,,,,,10,,,"Pemekaran sebagian wil Kec. Lunang Silaut, Perda No. 9/2012"
,13.02,2 KAB. SOLOK,Arosuka,,,14,0,74,3.590,397.276,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,Sangir,,,,,,,,,"Menjadi wil Kab. Solok Selatan, UU No. 38/2003"
,,Sei Pagu,,,,,,,,,"Menjadi wil Kab. Solok Selatan, UU No. 38/2003"
,13.02.03,3 Pantai Cermin,,,,,,2,,,
,13.02.04,4 Lembah Gumanti,,,,,,4,,,
,13.02.05,5 Payung Sekaki,,,,,,3,,,
,13.02.06,6 Lembang Jaya,,,,,,6,,,
,13.02.07,7 Gunung Talang,,,,,,8,,,
,13.02.08,8 Bukit Sundi,,,,,,5,,,
,13.02.09,9 IX Koto Sungai Lasi,,,,,,9,,,
,13.02.10,10 Kubung,,,,,,8,,,
,13.02.11,11 X Koto Singkarak,,,,,,8,,,
