Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
21.71.40065,Pulau Blere Mecan,,"01°07'00.38"" U 103°49'53.45"" T",
21.71.40066,Pulau Bokor,,"01°08'42.62"" U 103°58'30.55"" T",TBP
21.71.40067,Pulau Bolak,,"00°56'29.00"" U 103°49'54.00"" T",TBP
21.71.40068,Pulau Bolak,,"01°06'15.99"" U 103°51'25.99"" T",TBP
21.71.40069,Pulau Bosing Besar,,"01°03'20.00"" U 103°49'55.99"" T",TBP
21.71.40070,Pulau Bosing Kecil,,"01°03'36.00"" U 103°49'58.00"" T",TBP
21.71.40071,Pulau Boyan,,"01°01'19.96"" U 103°54'49.11"" T",TBP
21.71.40072,Pulau Buaya,,"00°35'56.53"" U 104°05'56.19"" T",TBP
21.71.40073,Pulau Buce,,"00°58'45.99"" U 103°46'48.00"" T",TBP
21.71.40074,Pulau Bukit,,"00°55'31.00"" U 104°02'17.00"" T",TBP
21.71.40075,Pulau Bukittinggi,,"01°06'26.52"" U 103°55'01.42"" T",TBP
21.71.40076,Pulau Bulan,,"00°58'32.00"" U 103°54'02.00"" T",TBP
21.71.40077,Pulau Bulang,,"01°01'04.00"" U 103°53'15.00"" T",TBP
21.71.40078,Pulau Bulang Lintang,,"01°00'59.60"" U 103°52'49.30"" T",
21.71.40079,Pulau Bulat,,"01°01'43.00"" U 103°47'53.00"" T",TBP
21.71.40080,Pulau Bulat,,"01°05'06.00"" U 103°52'14.99"" T",TBP
21.71.40081,Pulau Bulat,,"01°06'23.50"" U 103°51'49.29"" T",
21.71.40082,Pulau Bulat,,"01°02'05.41"" U 103°51'50.10"" T",
21.71.40083,Pulau Bulat,,"01°01'46.17"" U 103°55'02.07"" T",
21.71.40084,Pulau Buluh,,"01°00'59.00"" U 103°55'41.00"" T",TBP
21.71.40085,Pulau Buluh,,"01°01'35.90"" U 103°51'08.70"" T",
21.71.40086,Pulau Bunaki,,"00°46'20.37"" U 104°17'02.73"" T",TBP
21.71.40087,Pulau Bundar,,"01°00'18.00"" U 104°07'54.00"" T",TBP
21.71.40088,Pulau Buntar,,"00°40'23.00"" U 104°18'14.00"" T",TBP
21.71.40089,Pulau Buntong,,"01°02'28.81"" U 103°47'52.82"" T",TBP
21.71.40090,Pulau Buntung,,"01°02'37.00"" U 103°47'47.00"" T",TBP
21.71.40091,Pulau Buntut Meriam,,"01°07'58.30"" U 103°50'07.69"" T",
21.71.40092,Pulau Burus,,"00°39'09.00"" U 104°14'37.00"" T",TBP
21.71.40093,Pulau Burut,,"00°55'12.35"" U 104°01'56.94"" T",TBP
21.71.40094,Pulau Camping,,"00°59'39.99"" U 104°02'44.00"" T",TBP
21.71.40095,Pulau Catur,,"01°08'10.00"" U 103°49'48.00"" T",TBP
21.71.40096,Pulau Cekukur,,"00°36'29.00"" U 104°06'07.99"" T",TBP
21.71.40097,Pulau Cengkui,,"00°56'17.00"" U 103°53'25.00"" T",BP
21.71.40098,Pulau Cingam,,"00°39'19.84"" U 104°14'31.45"" T",BP
21.71.40099,Pulau Colek,,"01°00'14.10"" U 103°57'17.05"" T",TBP
21.71.40100,Pulau Combon,,"00°58'53.73"" U 103°49'09.12"" T",TBP
21.71.40101,Pulau Combun,,"00°57'22.18"" U 104°08'29.33"" T",TBP
21.71.40102,Pulau Cule,,"01°02'25.01"" U 103°42'41.64"" T",TBP
21.71.40103,Pulau Cuma,,"01°00'30.52"" U 104°08'10.57"" T",TBP
21.71.40104,Pulau Cumin,,"01°00'37.66"" U 103°49'31.95"" T",TBP
