K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
91,P A P U A,,,,,,,
91.05,KAB. KEPULAUAN YAPEN,,,17,5,160,"2.429,030","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
91.05.01,,,,1Yapen Selatan,3,10,,
,,,,,,Kamanap,,Menjadi wil. Kec. Kosiwo
,,,,,,Aromarea,,Menjadi wil. Kec. Kosiwo
,,,,,Anatorei,,,Menjadi Wil Kec Anotaurei Perda No 22/2012
91.05.01.1004,,,,,1Tarau,,,
91.05.01.1005,,,,,2Serui Kota,,,
91.05.01.1006,,,,,3Serui Jaya,,,
,,,,,,Mariar Rotu,,Menjadi wil. Kec. Kosiwo
,,,,,,Kanawa,,Menjadi wil. Kec. Kosiwo
,,,,,,Tatui,,Menjadi wil. Kec. Kosiwo
,,,,,,Ariepi,,Menjadi wil. Kec. Kosiwo
,,,,,,Mantembu,,Menjadi Wil Kec Anotaurei Perda No 22/2012
,,,,,,Mariaderi,,Menjadi Wil Kec Anotaurei Perda No 22/2012
,,,,,,Sarawandori,,Menjadi wil. Kec. Kosiwo
91.05.01.2014,,,,,,1 Serui Laut,,
91.05.01.2015,,,,,,2 Banawa,,
,,,,,,Warari,,Menjadi Wil Kec Anotaurei Perda No 22/2012
91.05.01.2017,,,,,,3 Turu,,
,,,,,,Panduami,,Menjadi wil Kec. Kosiwo Perda No. 2/2006
91.05.01.2019,,,,,,4 Pasir Hitam,,
91.05.01.2020,,,,,,5 Pasir Putih,,
,,,,,,Yapan,,Menjadi Wil Kec Anotaurei Perda No 22/2012
,,,,,,Famboaman,,Menjadi Wil Kec Anotaurei Perda No 22/2012
91.05.01.2023,,,,,,6 Manaini,,Pemekaran desa Warari Perda No. 8/2011
91.05.01.2024,,,,,,7 Imandoa,,Pemekaran desa Warari Perda No. 8/2011
,,,,,,Kandowarira,,Menjadi Wil Kec Anotaurei Perda No 22/2012
91.05.01.2026,,,,,,8 Barawaikap,,Pemekaran desa Banawa Perda No. 8/2011
91.05.01.2027,,,,,,9 Bawai,,Pemekaran desa Pasir Hitam Perda No. 8/2011
91.05.01.2028,,,,,,10 Nundawipi,,Pemekaran desa Serui Laut Perda No. 8/2011
,,,,,,Ketu Api,,Menjadi Wil Kec Anotaurei Perda No 22/2012
91.05.02,,,,2Yapen Barat,1,16,,
,,,,,,Wooi,,Menjadi wil. Kec.Wonawa
91.05.02.2002,,,,,,1 Webi,,
91.05.02.1003,,,,,1Ansus,,,
91.05.02.2004,,,,,,2 Papuama,,
,,,,,,,,
