NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,53.06.12,12 Witihama,,,,,,16,,,
,53.06.13,13 Ile Boleng,,,,,,21,,,
,53.06.14,14 Demon Pagong,,,,,,7,,,Perda No. 2/2006
,53.06.15,15 Lewolema,,,,,,7,,,Perda No. 2/2006
,53.06.16,16 Ile Bura,,,,,,7,,,Perda No. 2/2006
,53.06.17,17 Adonara,,,,,,8,,,Perda No. 2/2006
,53.06.18,18 Adonara Tengah,,,,,,13,,,Perda No. 2/2006
,53.06.19,19 Solor Selatan,,,,,,7,,,Pemekaran Kecamatan Perda No. 8/2009
,53.07,7 KAB. SIKKA,Maumere,,,21,13,181,1.672,328.199,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,53.07.01,1 Paga,,,,,,14,,,
,53.07.02,2 Mego,,,,,,12,,,
,53.07.03,3 Lela,,,,,,9,,,
,53.07.04,4 Nita,,,,,,15,,,
,53.07.05,5 Alok,,,,,4,3,,,
,53.07.06,6 Palue,,,,,,8,,,
,53.07.07,7 Nelle,,,,,,5,,,"Perubahan nama Kec. Maumere, Perda No. 3/2007"
,53.07.08,8 Talibura,,,,,,20,,,
,53.07.09,9 Waigete,,,,,,11,,,
,53.07.10,10 Kewapante,,,,,,9,,,
,53.07.11,11 Bola,,,,,,8,,,
,53.07.12,12 Magepanda,,,,,,8,,,Perda No. 3/2005
,53.07.13,13 Waiblama,,,,,,7,,,Perda No. 1/2007
,53.07.14,14 Alok Barat,,,,,4,,,,Perda No. 2/2007
,53.07.15,15 Alok Timur,,,,,5,6,,,Perda No. 2/2007
,53.07.16,16 Koting,,,,,,7,,,Perda No. 3/2007
,53.07.17,17 Tana Wawo,,,,,,10,,,Perda No. 4/2007
,53.07.18,18 Hewokloang,,,,,,7,,,Perda No. 5/2007
,53.07.19,19 Kangae,,,,,,9,,,Perda No. 5/2007
,53.07.20,20 Doreng,,,,,,9,,,Perda No. 6/2007
,53.07.21,21 Mapitara,,,,,,4,,,Perda No. 6/2007
,53.08,8 KAB. ENDE,Ende,,,21,23,255,2.085,277.589,"Luas Wilayah Definitif, PAWAP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,53.08.01,1 Nangapanda,,,,,1,28,,,
,53.08.02,2 Pulau Ende,,,,,,9,,,
