K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
74,SULAWESI TENGGARA,,,,,,,
74.71,KOTA KENDARI,,,11,65,0,"265,791","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
74.71.01,,,,1Mandonga,6,-,,
,,,,,Puuwatu,,,"Menjadi wil. Kec. Puuwatu, Perda No. 22/2006"
,,,,,Watulondo,,,"Menjadi wil. Kec. Puuwatu, Perda No. 22/2006"
,,,,,Punggolaka,,,"Menjadi wil. Kec. Puuwatu, Perda No. 22/2006"
,,,,,Tobuha,,,"Menjadi wil. Kec. Puuwatu, Perda No. 22/2006"
74.71.01.1005,,,,,1Mandonga,,,
74.71.01.1006,,,,,2Korumba,,,
74.71.01.1007,,,,,3Labibia,,,
74.71.01.1008,,,,,4Wawombalata,,,
74.71.01.1009,,,,,5Alolama,,,
74.71.01.1010,,,,,6Anggilowu,,,
74.71.02,,,,2Kendari,9,-,,
,,,,,Kemaraya,,,Menjadi wil. Kec. Kendari Barat
,,,,,Watu-Watu,,,Menjadi wil. Kec. Kendari Barat
,,,,,Tipulu,,,Menjadi wil. Kec. Kendari Barat
,,,,,Punggaloba,,,Menjadi wil. Kec. Kendari Barat
,,,,,Benu Benua,,,Menjadi wil. Kec. Kendari Barat
,,,,,Sodohaa,,,Menjadi wil. Kec. Kendari Barat
,,,,,Sanua,,,Menjadi wil. Kec. Kendari Barat
,,,,,Dapu Dapura,,,Menjadi wil. Kec. Kendari Barat
74.71.02.1009,,,,,1Kandai,,,
74.71.02.1010,,,,,2Gunung Jati,,,
74.71.02.1011,,,,,3Kampung Salo,,,
74.71.02.1012,,,,,4Mangga Dua,,,
74.71.02.1013,,,,,5Kendari Caddi,,,
74.71.02.1014,,,,,6Kassilampe,,,
74.71.02.1015,,,,,7Mata,,,
74.71.02.1016,,,,,8Purirano,,,
74.71.02.1017,,,,,9Jati Mekar,,,Perda No. 17/2004
74.71.03,,,,3Baruga,4,-,,
74.71.03.1001,,,,,1Baruga,,,
74.71.03.1002,,,,,2Lepo Lepo,,,
,,,,,Bonggoeya,,,"Menjadi wil. Kec. Wua-Wua, Perda No. 20/2006"
,,,,,Wua Wua,,,"Menjadi wil. Kec. Wua-Wua, Perda No. 20/2006"
,,,,,Bende,,,"Menjadi wil. Kec. Kadia, Perda No. 21/2006"
,,,,,,,,
