K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.11.14.2004,,,,,,4 Cot Glumpang,,"Perubahan nama desa semula Cot Gleumpang menjadi Cot Glumpang,
sesuai:
Qanun No. 41 Tahun 2004; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.11.14.2005,,,,,,5 Cot Kuta,,
11.11.14.2006,,,,,,6 Glumpang Baroh,,
11.11.14.2007,,,,,,7 Krueng Juli Timu,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.11.14.2008,,,,,,8 Krueng Juli Barat,,
11.11.14.2009,,,,,,9 Cot Trieng,,
11.11.14.2010,,,,,,10 Lhok Awe Awe,,"Perbaikan nama sesuai Surat Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.11.14.2011,,,,,,11 Cot Laga Sawa,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.11.14.2012,,,,,,12 Cot U Sibak,,
11.11.14.2013,,,,,,13 Lancok Pante Ara,,
11.11.14.2014,,,,,,14 Lancok-Lancok,,
11.11.14.2015,,,,,,15 Kareung,,
11.11.14.2016,,,,,,16 Balee Kuyun,,"Perbaikan nama sesuai Surat Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017.
Perbaikan nama desa semula Bale Kunyuen menjadi Balee Kuyun,
sesuai:
Qanun No. 41 Tahun 2004; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.11.14.2017,,,,,,17 Ujong Blang,,
11.11.14.2018,,,,,,18 Ujong Blang Mesjid,,
11.11.14.2019,,,,,,19 Weu Jangka,,
11.11.14.2020,,,,,,20 Kuala Raja,,
11.11.15,,,,"15Peusangan Siblah
Krueng",-,21,,
11.11.15.2001,,,,,,1 Lueng Daneun,,
11.11.15.2002,,,,,,2 Rambong Payong,,
11.11.15.2003,,,,,,3 Alue Kupula,,
11.11.15.2004,,,,,,4 Blang Cirih,,
11.11.15.2005,,,,,,5 Kubu,,
11.11.15.2006,,,,,,6 Teupin Raya,,
11.11.15.2007,,,,,,7 Cot Aneuk Batee,,
11.11.15.2008,,,,,,8 Kubu Raya,,
11.11.15.2009,,,,,,9 Pante Baro Gle Siblah,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
,,,,,,,,
