K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
95.08.12.2002,,,,,,2 Yuguru,,
95.08.12.2003,,,,,,3 Lemurak,,
95.08.12.2004,,,,,,4 Setmit,,
95.08.12.2005,,,,,,5 Aptam,,
95.08.12.2006,,,,,,6 Ngenamba,,
95.08.12.2007,,,,,,7 Narugum,,
95.08.12.2008,,,,,,8 Eregenmanggal,,
95.08.12.2009,,,,,,9 Talpam,,
95.08.12.2010,,,,,,10 Siginimarem,,
95.08.12.2011,,,,,,11 Bone,,
95.08.12.2012,,,,,,12 Olunmu,,
95.08.12.2013,,,,,,13 Sabiem,,
95.08.12.2014,,,,,,14 Pereki,,
95.08.13,,,,13Yenggelo,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.08.13.2001,,,,,,1 Yenggelo,,
95.08.13.2002,,,,,,2 Maima,,
95.08.13.2003,,,,,,3 Nolo,,
95.08.13.2004,,,,,,4 Wuarem,,
95.08.14,,,,14Kilmid,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.08.14.2001,,,,,,1 Gemam,,
95.08.14.2002,,,,,,2 Puruwa,,
95.08.14.2003,,,,,,3 Yutpul,,
95.08.14.2004,,,,,,4 Kilmid,,
95.08.15,,,,15Alama,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.08.15.2001,,,,,,1 Alama,,
95.08.15.2002,,,,,,2 Nolit,,
95.08.15.2003,,,,,,3 Gin,,
95.08.15.2004,,,,,,4 Kulesa,,
95.08.16,,,,16Yal,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.08.16.2001,,,,,,1 Yal,,
95.08.16.2002,,,,,,2 Yimogi,,
95.08.16.2003,,,,,,3 Gimi,,
95.08.16.2004,,,,,,4 Mugiarem,,
95.08.16.2005,,,,,,5 Palpam,,
95.08.16.2006,,,,,,6 Samba,,
95.08.16.2007,,,,,,7 Sitdobo,,
95.08.16.2008,,,,,,8 Diringgama,,
,,,,,,,,
