K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
35,JAWA TIMUR,,,,,,,
35.19,KAB. MADIUN,,,15,8,198,"1.113,627","Perubahan nama ibukota Kab. Madiun sesuai PP. No. 3 tahun 2019
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
35.19.01,,,,1Kebonsari,-,14,,"Perbaikan nama kecamatan semula Kebon Sari menjadi Kebonsari
sesuai Surat Bupati Madiun Tanggal 7 Juli 2022 No.
146/408/402.011/2022."
35.19.01.2001,,,,,,1 Tambakmas,,
35.19.01.2002,,,,,,2 Tanjungrejo,,
35.19.01.2003,,,,,,3 Sukorejo,,
35.19.01.2004,,,,,,4 Pucanganom,,
35.19.01.2005,,,,,,5 Krandegan,,
35.19.01.2006,,,,,,6 Singgahan,,
35.19.01.2007,,,,,,7 Sidorejo,,
35.19.01.2008,,,,,,8 Palur,,
35.19.01.2009,,,,,,9 Mojorejo,,
35.19.01.2010,,,,,,10 Rejosari,,
35.19.01.2011,,,,,,11 Kebonsari,,
35.19.01.2012,,,,,,12 Balerejo,,
35.19.01.2013,,,,,,13 Kedondong,,"Perbaikan nama sesuai Perda Kab. Madiun No. 1 Tahun 2015.
Surat Sesditjen Bina Pemerintahan Desa No. 145/2430/BPD Tanggal 24
Mei 2021.
Perbaikan nama dari Kendondong menjadi Kedondong sesuai surat
Bupati Madiun No.146.4/195/402.011/2021 tgl 1 April 2021."
35.19.01.2014,,,,,,14 Bacem,,
35.19.02,,,,2Dolopo,2,10,,
35.19.02.2001,,,,,,1 Lembah,,
35.19.02.1002,,,,,1Mlilir,,,
35.19.02.2003,,,,,,2 Kradinan,,
35.19.02.2004,,,,,,3 Suluk,,
35.19.02.2005,,,,,,4 Blimbing,,
35.19.02.2006,,,,,,5 Bader,,
35.19.02.2007,,,,,,6 Candimulyo,,
35.19.02.2008,,,,,,7 Glonggong,,
35.19.02.2009,,,,,,8 Dolopo,,
35.19.02.2010,,,,,,9 Doho,,
35.19.02.2011,,,,,,10 Ketawang,,
35.19.02.1012,,,,,2Bangunsari,,,
35.19.03,,,,3Geger,-,19,,
35.19.03.2001,,,,,,1 Banaran,,
