NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19","53.01
53.02
53.03
53.04
53.05
53.06
53.07
53.08
53.09
53.10
53.11
53.12
53.13
53.14
53.15
53.16
53.17
53.18
53.19","KAB. KUPANG
KAB TIMOR TENGAH SELATAN
KAB. TIMOR TENGAH UTARA
KAB. BELU
KAB. ALOR
KAB. FLORES TIMUR
KAB. SIKKA
KAB. ENDE
KAB. NGADA
KAB. MANGGARAI
KAB. SUMBA TIMUR
KAB. SUMBA BARAT
KAB. LEMBATA
KAB. ROTE NDAO
KAB. MANGGARAI BARAT
KAB. NAGEKEO
KAB. SUMBA TENGAH
KAB. SUMBA BARAT DAYA
KAB. MANGGARAI TIMUR","24
32
24
12
18
19
21
21
12
12
22
6
9
11
12
7
6
11
12","17
12
11
12
17
21
13
23
16
26
16
11
7
7
5
16
0
2
17","160
266
182
69
158
229
181
255
190
145
140
63
144
112
164
97
65
173
159","5.136,510
3.933,151
2.623,200
1.127,250
2.928,559
1.748,517
1.671,649
2.085,244
1.735,635
1.343,834
6.984,014
757,408
1.268,105
1.286,453
3.128,997
1.396,164
1.789,659
1.383,312
2.389,530","385.460
471.010
268.606
227.866
220.146
286.044
328.199
277.589
169.417
326.737
256.931
149.802
141.534
149.317
268.894
166.030
88.789
320.554
277.149","Luas Wilayah Definitif, PBW, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022
Luas Wilayah Definitif, PBW, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022
Luas Wilayah Definitif, PAWAP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PBW, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
UU No. 2/2007.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022
UU No.3 /2007.
Luas Wilayah Definitif, PBW, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022
UU No. 16/2007.
Luas Wilayah Definitif, PBW, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022
UU No. 36/2007.
Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
