NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,63.01,KAB. TANAH LAUT,2,
2,63.02,KAB. KOTABARU,137,
3,63.03,KAB. BANJAR,3,
4,63.04,KAB. BARITO KUALA,13,
5,63.10,KAB. TANAH BUMBU,8,
6,63.71,KOTA BANJARMASIN,2,
,,TOTAL,165,
