K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
13.05.09.2004,,,,,,"4 III Koto Aur Malintang
Selatan",,"Pemekaran sebagian Desa III Koto Aur Malintang, Perda No. 13/2010"
13.05.09.2005,,,,,,"5 Balai Baiak Malai III
Koto",,"Pemekaran sebagian Desa III Koto Aur Malintang, Perda No. 13/2010"
13.05.10,,,,10Ulakan Tapakih,-,8,,
13.05.10.2001,,,,,,1 Tapakih,,
13.05.10.2002,,,,,,2 Ulakan,,
13.05.10.2003,,,,,,3 Padang Toboh Ulakan,,"Pemekaran sebagian wil Desa Ulakan, Perda No. 1/2013, Rekomendasi
Gubernur Sumbar No. 120/453PEM-2016 hal Usulan No Kode Wilayah
Adm Pemerintahan Nagari tgl 26 Mei 2016 dan Rekomendasi Ditjen
Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
13.05.10.2004,,,,,,4 Sungai Gimba Ulakan,,"Pemekaran sebagian wil Desa Ulakan, Perda No. 1/2013, Rekomendasi
Gubernur Sumbar No. 120/453PEM-2016 hal Usulan No Kode Wilayah
Adm Pemerintahan Nagari tgl 26 Mei 2016 dan Rekomendasi Ditjen
Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
13.05.10.2005,,,,,,5 Seulayat Ulakan,,"Pemekaran sebagian wil Desa Ulakan, Perda No. 1/2013, Rekomendasi
Gubernur Sumbar No. 120/453PEM-2016 hal Usulan No Kode Wilayah
Adm Pemerintahan Nagari tgl 26 Mei 2016 dan Rekomendasi Ditjen
Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
13.05.10.2006,,,,,,"6 Manggopoh Palak
Gadang Ulakan",,"Pemekaran sebagian wil Desa Ulakan, Perda No. 1/2013, Rekomendasi
Gubernur Sumbar No. 120/453PEM-2016 hal Usulan No Kode Wilayah
Adm Pemerintahan Nagari tgl 26 Mei 2016 dan Rekomendasi Ditjen
Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
13.05.10.2007,,,,,,7 Sandi Ulakan,,"Pemekaran sebagian wil Desa Ulakan, Perda No. 1/2013, Rekomendasi
Gubernur Sumbar No. 120/453PEM-2016 hal Usulan No Kode Wilayah
Adm Pemerintahan Nagari tgl 26 Mei 2016 dan Rekomendasi Ditjen
Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
13.05.10.2008,,,,,,"8 Kampuang
Gelapuang Ulakan",,"Pemekaran sebagian wil Desa Ulakan, Perda No. 1/2013, Rekomendasi
Gubernur Sumbar No. 120/453PEM-2016 hal Usulan No Kode Wilayah
Adm Pemerintahan Nagari tgl 26 Mei 2016 dan Rekomendasi Ditjen
Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
13.05.11,,,,"11Sintuak Toboh
Gadang",-,5,,
13.05.11.2001,,,,,,1 Sintuak,,
13.05.11.2002,,,,,,2 Toboh Gadang,,
13.05.11.2003,,,,,,"3 Toboh Gadang
Selatan",,"Pemekaran sebagian wil Desa Toboh Gadang, Perda No. 1/2013,
Rekomendasi Gubernur Sumbar No. 120/453PEM-2016 hal Usulan No
Kode Wilayah Adm Pemerintahan Nagari tgl 26 Mei 2016 dan
Rekomendasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
13.05.11.2004,,,,,,4 Toboh Gadang Barat,,"Pemekaran sebagian wil Desa Toboh Gadang, Perda No. 1/2013,
Rekomendasi Gubernur Sumbar No. 120/453PEM-2016 hal Usulan No
Kode Wilayah Adm Pemerintahan Nagari tgl 26 Mei 2016 dan
Rekomendasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
,,,,,,,,
