K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Natai Kerbau,,"Menjadi wil Kec. Pangkalan Banteng, Perda No. 10/2003"
62.01.01.2034,,,,,,15 Sabuai Timur,,"Pemekaran sebagian desa Sebuai Perda No.3/2010, Perbaikan nama
sesuai hasil Rakernis Ditjen Bina Pemdes tentang Klarifikasi Data Nama
dan Kodefikasi Desa tgl 1 April 2016, Perbaikan nama sesuai Srt Ditjen
Pemdes No.145/1820/SET tgl 15 Nov 2018"
62.01.02,,,,2Arut Selatan,7,13,,
62.01.02.2001,,,,,,1 Tanjung Putri,,
62.01.02.1002,,,,,1Mendawai Seberang,,,
62.01.02.1003,,,,,2Mendawai,,,
62.01.02.2004,,,,,,2 Pasir Panjang,,
62.01.02.1005,,,,,3Madurejo,,,
62.01.02.1006,,,,,4Sidorejo,,,
62.01.02.1007,,,,,5Raja,,,
62.01.02.1008,,,,,6Raja Seberang,,,
62.01.02.1009,,,,,7Baru,,,
62.01.02.2010,,,,,,3 Rangda,,
62.01.02.2011,,,,,,4 Kenambui,,Perubahan nama dari Desa Sulung Kenambui Perda No. 10/2009
62.01.02.2012,,,,,,5 Runtu,,
62.01.02.2013,,,,,,6 Umpang,,
62.01.02.2014,,,,,,7 Kumpai Batu Bawah,,
62.01.02.2015,,,,,,8 Kumpai Batu Atas,,
62.01.02.2016,,,,,,9 Natai Raya,,
62.01.02.2017,,,,,,10 Medang Sari,,
62.01.02.2018,,,,,,11 Natai Baru,,Perda No. 2/2005
62.01.02.2019,,,,,,12 Tanjung Terantang,,Perda No. 30/2006
62.01.02.2020,,,,,,13 Sulung,,"Pemekaran Desa Sulung Kenambui, Perda No. 10/2009"
62.01.03,,,,3Kotawaringin Lama,2,15,,
62.01.03.2001,,,,,,1 Babual Baboti,,
62.01.03.2002,,,,,,2 Tempayung,,
62.01.03.2003,,,,,,3 Sakabulin,,
62.01.03.2004,,,,,,4 Kinjil,,
62.01.03.2005,,,,,,5 Dawak,,
62.01.03.2006,,,,,,6 Riam Durian,,
62.01.03.1007,,,,,1Kotawaringin Hulu,,,
62.01.03.1008,,,,,2Kotawaringin Hilir,,,
62.01.03.2009,,,,,,7 Lalang,,
62.01.03.2010,,,,,,8 Rungun,,
62.01.03.2011,,,,,,9 Kondang,,
62.01.03.2012,,,,,,10 Suka Jaya,,
62.01.03.2013,,,,,,11 Suka Makmur,,"Perbaikan nama sesuai hasil Rakernis Ditjen Bina Pemdes tentang
Klarifikasi Data Nama dan Kodefikasi Desa tgl 1 April 2016"
,,,,,,,,
