NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XVI,36,BANTEN,,4,4,155,314,1238,9.353,12.145.161,
,36.01,1 KAB. PANDEGLANG,Pandeglang,,,35,13,326,2.771,1.367.473,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,36.01.01,1 Sumur,,,,,,7,,,
,36.01.02,2 Cimanggu,,,,,,12,,,
,36.01.03,3 Cibaliung,,,,,,9,,,
,36.01.04,4 Cikeusik,,,,,,14,,,
,36.01.05,5 Cigeulis,,,,,,9,,,
,36.01.06,6 Panimbang,,,,,,6,,,
,36.01.07,7 Angsana,,,,,,9,,,
,36.01.08,8 Munjul,,,,,,9,,,
,36.01.09,9 Pagelaran,,,,,,13,,,
,36.01.10,10 Bojong,,,,,,8,,,
,36.01.11,11 Picung,,,,,,9,,,
,36.01.12,12 Labuan,,,,,,9,,,
,36.01.13,13 Menes,,,,,,12,,,
,36.01.14,14 Saketi,,,,,,14,,,
,36.01.15,15 Cipeucang,,,,,,10,,,
,36.01.16,16 Jiput,,,,,,13,,,
,36.01.17,17 Mandalawangi,,,,,,15,,,
,36.01.18,18 Cimanuk,,,,,,11,,,
,36.01.19,19 Kaduhejo,,,,,,10,,,
,36.01.20,20 Banjar,,,,,,11,,,
,36.01.21,21 Pandeglang,,,,,4,,,,
,36.01.22,22 Cadasari,,,,,,11,,,
,36.01.23,23 Cisata,,,,,,9,,,
,36.01.24,24 Patia,,,,,,10,,,
,36.01.25,25 Karang Tanjung,,,,,4,,,,
,36.01.26,26 Cikedal,,,,,,10,,,
,36.01.27,27 Cibitung,,,,,,10,,,Perda No. 4/2004
,36.01.28,28 Carita,,,,,,10,,,Perda No. 4/2004
,36.01.29,29 Sukaresmi,,,,,,10,,,Perda No. 1/2005
,36.01.30,30 Mekarjaya,,,,,,8,,,Perda No. 1/2005
