Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
21.04.40336,Pulau Malangempuh,,"00°14'54.78"" U 104°19'59.54"" T",TBP
21.04.40337,Pulau Malanggelombang,,"00°10'05.78"" U 104°15'20.88"" T",TBP
21.04.40338,Pulau Malanggula,,"00°20'40.91"" S 104°26'08.94"" T",
21.04.40339,Pulau Malanghitam,,"00°16'20.87"" U 104°28'57.82"" T",TBP
21.04.40340,Pulau Malanghitam,,"00°07'56.91"" S 104°46'21.54"" T",TBP
21.04.40341,Pulau Malangila,,"00°00'53.60"" S 104°39'22.28"" T",TBP
21.04.40342,Pulau Malangjerambang,,"00°15'40.64"" U 104°20'24.90"" T",TBP
21.04.40343,Pulau Malangkelembai,,"00°18'26.79"" S 104°23'41.71"" T",TBP
21.04.40344,Pulau Malangkera,,"00°06'07.16"" U 104°43'57.83"" T",TBP
21.04.40345,Pulau Malangkojong,,"00°11'01.20"" S 104°55'00.61"" T",TBP
21.04.40346,Pulau Malangkoyok,,"00°23'05.77"" U 104°27'03.21"" T",TBP
21.04.40347,Pulau Malangkunyit,,"00°14'55.42"" U 104°20'58.81"" T",TBP
21.04.40348,Pulau Malanglayar,,"00°25'45.62"" U 104°20'21.26"" T",TBP
21.04.40349,Pulau Malangmangun,,"00°04'23.23"" U 104°45'26.89"" T",TBP
21.04.40350,Pulau Malangmerah,,"00°16'13.87"" U 104°28'44.83"" T",TBP
21.04.40351,Pulau Malangorang,,"00°20'12.52"" S 104°16'13.17"" T",
21.04.40352,Pulau Malangpangkil,,"00°16'57.57"" U 104°24'09.00"" T",TBP
21.04.40353,Pulau Malangprayon,,"00°17'19.14"" U 104°23'42.79"" T",TBP
21.04.40354,Pulau Malangruka,,"00°12'10.55"" U 104°22'45.56"" T",TBP
21.04.40355,Pulau Malangtaikoyo,,"00°15'14.02"" U 104°30'50.40"" T",TBP
21.04.40356,Pulau Malangtelur,,"00°15'18.79"" U 104°29'46.95"" T",TBP
21.04.40357,Pulau Malangtelur Kecik,,"00°15'24.16"" U 104°29'40.65"" T",TBP
21.04.40358,Pulau Malangtenang,,"00°40'54.85"" S 104°29'01.59"" T",TBP
21.04.40359,Pulau Malangtikus,,"00°10'08.33"" S 104°45'05.03"" T",TBP
21.04.40360,Pulau Malau,,"00°16'00.00"" U 104°18'04.00"" T",TBP
21.04.40361,Pulau Malim,,"00°05'45.16"" U 104°30'51.91"" T",TBP
21.04.40362,Pulau Mamut,,"00°08'02.00"" U 104°30'04.00"" T",BP
21.04.40363,Pulau Manik,,"00°00'11.59"" S 104°31'50.01"" T",BP
21.04.40364,Pulau Mantang,,"00°14'48.16"" S 104°35'04.93"" T",TBP
21.04.40365,Pulau Mantigi,,"00°20'56.61"" U 104°18'00.00"" T",TBP
21.04.40366,Pulau Maran,,"00°04'57.97"" S 104°52'41.04"" T",TBP
21.04.40367,Pulau Maras,,"00°05'31.84"" S 104°53'12.48"" T",TBP
21.04.40368,Pulau Maruktua,,"00°33'27.57"" S 104°18'44.17"" T",TBP
21.04.40369,Pulau Mas,,"00°20'20.11"" S 104°27'01.58"" T",TBP
21.04.40370,Pulau Masbangsal,,"00°23'23.35"" S 104°11'30.26"" T",BP
21.04.40371,Pulau Mati Anak Kecil,,"00°10'09.99"" U 104°24'00.00"" T",
21.04.40372,Pulau Matianak,,"00°09'50.18"" U 104°24'10.66"" T",TBP
21.04.40373,Pulau Matong,,"00°11'10.71"" U 104°21'05.00"" T",TBP
21.04.40374,Pulau Matung Besar,,"00°10'10.92"" U 104°26'58.52"" T",TBP
21.04.40375,Pulau Matung Kecik,,"00°10'14.66"" U 104°27'27.79"" T",TBP
