K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
53.13.04.2012,,,,,,12 Balurebong,,
53.13.04.2013,,,,,,13 Lamadale,,
53.13.04.2014,,,,,,14 Tapolangu,,Perda No. 12/2004
53.13.04.2015,,,,,,15 Lamalela,,Perda No. 12/2004
53.13.04.2016,,,,,,16 Atakowa,,Perda No. 14/2007
53.13.04.2017,,,,,,17 Banitobo,,Perda No. 14/2007
53.13.05,,,,5Nubatukan,7,11,,
53.13.05.1001,,,,,1Lewoleba,,,
53.13.05.1002,,,,,2Lewoleba Timur,,,
53.13.05.1003,,,,,3Lewoleba Tengah,,,
53.13.05.1004,,,,,4Lewoleba Utara,,,
,,,,,Lewoleba Barat,,,"Dihapus, Perda No. 12/2007"
53.13.05.2006,,,,,,1 Baolangu,,
53.13.05.2007,,,,,,2 Nubamado,,
53.13.05.2008,,,,,,3 Watokobu,,
53.13.05.2009,,,,,,4 Belobatang,,
53.13.05.2010,,,,,,5 Waijarang,,
53.13.05.2011,,,,,,6 Udak Melomata,,
53.13.05.2012,,,,,,7 Paubokol,,
53.13.05.2013,,,,,,8 Pada,,Perda No. 12/2004
53.13.05.2014,,,,,,9 Lite Ulu Mado,,Perda No. 12/2004
53.13.05.1015,,,,,5Selandoro,,,Perda No. 13/2007
53.13.05.1016,,,,,6Lewoleba Selatan,,,Perda No. 13/2007
53.13.05.1017,,,,,7Lewoleba Barat,,,Perda No. 13/2007
53.13.05.2018,,,,,,10 Bakalerek,,Perda No. 14/2007
53.13.05.2019,,,,,,11 Bour,,Pemekaran sebagian wil Desa Watokobu Perda No. 6/2011
53.13.06,,,,6Omesuri,-,22,,
53.13.06.2001,,,,,,1 Balauring,,
53.13.06.2002,,,,,,2 Nilanapo,,
53.13.06.2003,,,,,,3 Leubatang,,
53.13.06.2004,,,,,,4 Walang Sawah,,
53.13.06.2005,,,,,,5 Mahal I,,
53.13.06.2006,,,,,,6 Aramengi,,
53.13.06.2007,,,,,,7 Meluwiting,,
53.13.06.2008,,,,,,8 Hingalamamengi,,
53.13.06.2009,,,,,,9 Dolulolong,,
53.13.06.2010,,,,,,10 Hoelea I,,
53.13.06.2011,,,,,,11 Roma,,
53.13.06.2012,,,,,,12 Leuwayang,,
53.13.06.2013,,,,,,13 Leudanung,,
,,,,,,,,
