K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
14.06.09.2011,,,,,,11 Mahato Sakti,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,Mahato Utara,,"Berdasarkan Surat Kepala BPMPD Kab. Rokan Hulu No.
140/BPMPD-PEMDES/652/2012 tanggal 15-10-2012"
,,,,,,Mahato Hulu,,"Berdasarkan Surat Kepala BPMPD Kab. Rokan Hulu No.
140/BPMPD-PEMDES/652/2012 tanggal 15-10-2012"
,,,,,,Mahato Tengah,,"Berdasarkan Surat Kepala BPMPD Kab. Rokan Hulu No.
140/BPMPD-PEMDES/652/2012 tanggal 15-10-2012"
14.06.10,,,,10Bangun Purba,-,7,,
14.06.10.2001,,,,,,1 Pasir Agung,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.10.2002,,,,,,2 Pasir Intan,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.10.2003,,,,,,3 Rambah Jaya,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.10.2004,,,,,,4 Bangun Purba,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.10.2005,,,,,,"5 Bangun Purba Timur
Jaya",,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.10.2006,,,,,,6 Bangun Purba Barat,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.10.2007,,,,,,7 Tangun,,Perda No. 14/2007
14.06.11,,,,11Tandun,-,9,,
14.06.11.2001,,,,,,1 Tandun,,
14.06.11.2002,,,,,,2 Kumain,,
14.06.11.2003,,,,,,3 Bono Tapung,,"Perbaikan nama Ditjen BPD tgl 23 Juni 2016, Perbaikan nama tgl 28
April 2017 dan rekomendasi Ditjen BPD No.146/3672/BPD tgl 21 Juni
2017, Koreksi nama 'Bona Tapung' Srt Ditjen BPD No 140/5118/BPD tgl
18 Juli 2019"
14.06.11.2004,,,,,,4 Dayo,,
14.06.11.2005,,,,,,5 Tapung Jaya,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
