K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11,ACEH,,,,,,,UU. No. 11 Tahun 2006
11.01,KAB. ACEH SELATAN,,,18,0,260,"4.175,375","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
11.01.01,,,,1Bakongan,-,7,,
11.01.01.2001,,,,,,1 Keude Bakongan,,
11.01.01.2002,,,,,,2 Ujong Mangki,,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.01.2003,,,,,,3 Ujong Padang,,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.01.2004,,,,,,4 Gampong Drien,,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
,,,,,,Bukit Gadeng,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,Seuneubok Keuranji,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,Rambong,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,Gunong Rayeuk,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,Beutong,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,Jambo Keupok,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,Ujong Tanoh,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,Gunong Cut,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,"Seuneubok Alur
Buloh",,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
,,,,,,Alurduamas,,Menjadi wil Kec. Kota Bahagia Perda No. 3/2010
11.01.01.2015,,,,,,5 Darul Ikhsan,,"Pemekaran Desa, Qonun No. 6/2010"
11.01.01.2016,,,,,,6 Padang Beurahan,,"Pemekaran Desa, Qonun No. 6/2010, Perbaikan nama sesuai Surat
Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan
Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.01.01.2017,,,,,,7 Gampong Baro,,"Pemekaran Desa, Qonun No. 6/2010"
11.01.02,,,,2Kluet Utara,-,21,,
11.01.02.2001,,,,,,1 Fajar Harapan,,
11.01.02.2002,,,,,,2 Krueng Batee,,
11.01.02.2003,,,,,,3 Pasi Kuala Asahan,,
11.01.02.2004,,,,,,4 Gunong Pulo,,"Perbaikan nama desa semula Gunung Pulo menjadi Gunong Pulo,
sesuai:
Qanun No. 1 Tahun 2019; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.01.02.2005,,,,,,5 Pulo Ie I,,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.02.2006,,,,,,6 Jambo Manyang,,
,,,,,,,,
