NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,12.21.07,7 Barumun,,,,,1,16,,,Semula wil. Kab. Tapanuli Selatan
,12.21.08,8 Sosa,,,,,,16,,,Semula wil. Kab. Tapanuli Selatan
,12.21.09,9 Batang Lubu Sutam,,,,,,20,,,Semula wil. Kab. Tapanuli Selatan
,12.21.10,10 Barumun Selatan,,,,,,11,,,Pemekaran Kec. Barumun Perda No. 2/2011
,12.21.11,11 Aek Nabara Barumun,,,,,,25,,,Pemekaran Kec. Barumun Tengah Perda No. 2/2011
,12.21.12,12 Sihapas Barumun,,,,,,13,,,"Pemekaran sebagian Kec. Barumun Tengah, Perda No. 12/2011"
,12.21.13,13 Barumun Baru,,,,,,13,,,"Pemekaran sebagian wil Kec. Barumun sesuai Perda No. 4/2019 dan
ND Dir Dekon No. 1380/TU/DK/SDV/2019 tgl 16 Desember 2019"
,12.21.14,14 Ulu Sosa,,,,,,11,,,"Pemekaran sebagian wil Kec. Sosa sesuai Perda No. 5/2019 dan ND
Dir Dekon No. 1380/TU/DK/SDV/2019 tgl 16 Desember 2019"
,12.21.15,15 Sosa Julu,,,,,,12,,,"Pemekaran sebagian wil Kec. Sosa, Perda No. 6/2019 dan ND Dir
Dekon No. 1380/TU/DK/SDV/2019 tgl 16 Desember 2019"
,12.21.16,16 Barumun Barat,,,,,,10,,,"Pemekaran sebagian wil Kec. Barumun Tengah sesuai Perda No.
7/2019 dan ND Dir Dekon No. 1380/TU/DK/SDV/2019 tgl 16
Desember 2019"
,12.21.17,17 Sosa Timur,,,,,,13,,,"Pemekaran sebagian wil Kec. Hutaraja Tinggi dan Kec. Batang Lubu
Sutam sesuai Perda No. 8/2019 dan ND Dir Dekon No.
1380/TU/DK/SDV/2019 tgl 16 Desember 2019"
,12.22,"22 KAB. LABUHANBATU
SELATAN",Kotapinang,,,5,2,52,3.080,325.451,"UU No. 22/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,12.22.01,1 Kotapinang,,,,,1,9,,,Semula wil. Kab. Labuhanbatu
,12.22.02,2 Kampung Rakyat,,,,,,15,,,Semula wil. Kab. Labuhanbatu
,12.22.03,3 Torgamba,,,,,,14,,,Semula wil. Kab. Labuhanbatu
,12.22.04,4 Sungai Kanan,,,,,1,8,,,Semula wil. Kab. Labuhanbatu
,12.22.05,5 Silangkitang,,,,,,6,,,Semula wil. Kab. Labuhanbatu
,12.23,23 KAB. LABUHANBATU UTARA,Aek Kanopan,,,8,8,82,3.686,396.555,"UU No. 23/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,12.23.01,1 Kualuh Hulu,,,,,2,11,,,Semula wil. Kab. Labuhanbatu
,12.23.02,2 Kualuh Leidong,,,,,1,6,,,Semula wil. Kab. Labuhanbatu
,12.23.03,3 Kualuh Hilir,,,,,1,6,,,Semula wil. Kab. Labuhanbatu
,12.23.04,4 Aek Kuo,,,,,,8,,,Semula wil. Kab. Labuhanbatu
,12.23.05,5 Marbau,,,,,1,17,,,Semula wil. Kab. Labuhanbatu
,12.23.06,6 Na IX - X,,,,,1,12,,,Semula wil. Kab. Labuhanbatu
,12.23.07,7 Aek Natas,,,,,1,11,,,Semula wil. Kab. Labuhanbatu
,12.23.08,8 Kualuh Selatan,,,,,1,11,,,Semula wil. Kab. Labuhanbatu
