K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
53,NUSA TENGGARA TIMUR,,,,,,,
53.71,KOTA KUPANG,,,6,51,0,"159,334","Data luas wil. berdasarkan GIS Pusat, 2007.
Luas Wilayah Definitif, PBW, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
53.71.01,,,,1Alak,12,-,,
53.71.01.1001,,,,,1Namosain,,,
53.71.01.1002,,,,,2Nunbaun Sabu,,,
53.71.01.1003,,,,,3Nunbaun Delha,,,
53.71.01.1004,,,,,4Nunhila,,,
53.71.01.1005,,,,,5Fatufeto,,,
53.71.01.1006,,,,,6Manutapen,,,
53.71.01.1007,,,,,7Mantasi,,,
53.71.01.1008,,,,,8Alak,,,
53.71.01.1009,,,,,9Batu Plat,,,
53.71.01.1010,,,,,10Manulai II,,,
53.71.01.1011,,,,,11Naioni,,,
53.71.01.1012,,,,,12Penkase Oeleta,,,Pemekaran Kelurahan Perda No. 2/2010
53.71.02,,,,2Maulafa,9,-,,
53.71.02.1001,,,,,1Oepura,,,
53.71.02.1002,,,,,2Maulafa,,,
53.71.02.1003,,,,,3Penfui,,,
53.71.02.1004,,,,,4Naimata,,,
53.71.02.1005,,,,,5Bello,,,
53.71.02.1006,,,,,6Fatukoa,,,
53.71.02.1007,,,,,7Kolhua,,,
53.71.02.1008,,,,,8Sikumana,,,
53.71.02.1009,,,,,9Naikolan,,,
53.71.03,,,,3Kelapa Lima,5,-,,
53.71.03.1001,,,,,1Kelapa Lima,,,
,,,,,Pasir Panjang,,,Menjadi wil. Kec. Kota Lama Perda No. 4/2010
,,,,,Oeba,,,Menjadi wil. Kec. Kota Lama Perda No. 4/2010
,,,,,Merdeka,,,Menjadi wil. Kec. Kota Lama Perda No. 4/2010
,,,,,Tode Kisar,,,Menjadi wil. Kec. Kota lama Perda No. 4/2010
,,,,,Bonipoi,,,Menjadi wil. Kec. Kota Lama Perda No. 4/2010
,,,,,Solor,,,Menjadi wil. Kec. Kota Lama Perda No. 4/2010
,,,,,Lai Lai Bisi Kopan,,,Menjadi wil. Kec. Kota Lama Perda No. 4/2010
,,,,,Airmata,,,Menjadi wil. Kec. Kota Lama Perda No. 4/2010
53.71.03.1010,,,,,2Oesapa,,,
,,,,,,,,
