Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
14.05.40021,Pulau Penyalai,,"00°36'03.00"" U 103°13'13.00"" T",BP
14.05.40022,Pulau Pinang Bose,,"00°18'26.00"" U 102°16'06.00"" T",TBP
14.05.40023,Pulau Pinang Kocik,,"00°18'23.00"" U 102°15'54.00"" T",TBP
14.05.40024,Pulau Sarangburung,,"00°13'08.71"" U 102°20'10.28"" T",TBP
14.05.40025,Pulau Sarap,,"00°18'34.00"" U 102°13'22.00"" T",TBP
14.05.40026,Pulau Sempit,,"00°13'54.68"" U 102°30'39.36"" T",TBP
14.05.40027,Pulau Senang,,"00°23'00.90"" U 101°55'49.57"" T",TBP
14.05.40028,Pulau Senang Hulu,,"00°20'40.99"" U 101°53'17.74"" T",
14.05.40029,Pulau Serapung,,"00°37'04.00"" U 103°03'13.00"" T",BP
14.05.40030,Pulau Serusa,,"00°43'24.80"" U 103°16'27.02"" T",TBP
14.05.40031,Pulau Siakung Bose,,"00°17'03.00"" U 102°17'18.00"" T",TBP
14.05.40032,Pulau Siakung Kocik,,"00°17'11.00"" U 102°17'04.00"" T",TBP
14.05.40033,Pulau Sijugi,,"00°17'37.00"" U 102°14'40.00"" T",TBP
14.05.40034,Pulau Tanjungputus,,"00°18'48.50"" U 102°49'30.44"" T",TBP
14.05.40035,Pulau Telukdalam,,"00°14'56.31"" U 102°19'06.73"" T",TBP
14.05.40036,Pulau Teluksembilan,,"00°16'43.00"" U 102°18'43.00"" T",TBP
14.05.40037,Pulau Terus,,"00°42'33.80"" U 103°17'16.57"" T",TBP
14.05.40038,Pulau Tiga,,"00°40'20.00"" U 102°58'14.00"" T",TBP
14.05.40039,Pulau Tiga Selatan,,"00°39'31.00"" U 102°58'01.00"" T",TBP
14.05.40040,Pulau Tiga Utara,,"00°40'51.00"" U 102°57'53.00"" T",TBP
14.05.40041,Pulau Tigo,,"00°13'13.00"" U 102°30'02.00"" T",TBP
14.05.40042,Pulau Tugau,,"00°32'25.64"" U 103°03'11.95"" T",TBP
14.05.40043,Pulau Untut,,"00°24'52.00"" U 103°09'37.00"" T",TBP
14.07,KAB. ROKAN HILIR,36,,
14.07.40001,Pulau Barkey,,"02°11'19.57"" U 100°44'47.18"" T",TBP
14.07.40002,Pulau Baru,,"01°46'54.51"" U 101°02'23.73"" T",
14.07.40003,Pulau Baru,,"01°46'57.08"" U 101°02'22.67"" T",
14.07.40004,Pulau Baru,,"01°46'55.85"" U 101°01'58.23"" T",
14.07.40005,Pulau Baru,,"01°46'53.87"" U 101°02'32.75"" T",
14.07.40006,Pulau Baru,,"01°46'59.39"" U 101°02'42.59"" T",
14.07.40007,Pulau Batuadang,,"02°52'54.66"" U 100°34'13.74"" T",TBP
14.07.40008,Pulau Batuadang,,"02°52'56.93"" U 100°34'17.33"" T",
14.07.40009,Pulau Batuberlayar,,"02°53'03.69"" U 100°34'18.44"" T",
14.07.40010,Pulau Batuberlayar,,"02°52'56.44"" U 100°34'09.66"" T",TBP
14.07.40011,Pulau Batumandi,,"02°52'52.98"" U 100°32'57.64"" T",TBP (PPKT)
14.07.40012,Pulau Batumandi,,"02°32'10.00"" U 100°41'04.99"" T",TBP
14.07.40013,Pulau Bertandang,,"02°53'03.00"" U 100°34'11.00"" T",TBP
14.07.40014,Pulau Betingsedar,,"01°42'49.20"" U 101°03'38.50"" T",TBP
14.07.40015,Pulau Betingsedar Kecil,,"01°42'36.55"" U 101°03'29.05"" T",
14.07.40016,Pulau Halang,,"02°11'31.00"" U 100°39'27.00"" T",BP
