NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,73.71,22 KOTA MAKASSAR,Makassar,,,15,153,0,177,1.463.809,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.71.01,1 Mariso,,,,,9,,,,
,73.71.02,2 Mamajang,,,,,13,,,,
,73.71.03,3 Makassar,,,,,14,,,,
,73.71.04,4 Ujung Pandang,,,,,10,,,,
,73.71.05,5 Wajo,,,,,8,,,,
,73.71.06,6 Bontoala,,,,,12,,,,
,73.71.07,7 Tallo,,,,,15,,,,
,73.71.08,8 Ujung Tanah,,,,,9,,,,
,73.71.09,9 Panakkukang,,,,,11,,,,
,73.71.10,10 Tamalate,,,,,11,,,,
,73.71.11,11 Biringkanaya,,,,,11,,,,
,73.71.12,12 Manggala,,,,,8,,,,
,73.71.13,13 Rappocini,,,,,11,,,,
,73.71.14,14 Tamalanrea,,,,,8,,,,
,73.71.15,15 Kepulauan Sangkarrang,,,,,3,,,,"Pemekaran sebagian wil Kec. Ujung Tanah, Perda No. 3/2015"
,73.72,23 KOTA PAREPARE,Pare Pare,,,4,22,0,90,155.380,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Perbaikan nama Kota Pare Pare menjadi Parepare, sesuai:
UU No. 4 Tahun 2022; dan
Surat Sekda Kota Parepare No. 100/758/Pem tgl 5 September 2022."
,73.72.01,1 Bacukiki,,,,,4,,,,
,73.72.02,2 Ujung,,,,,5,,,,
,73.72.03,3 Soreang,,,,,7,,,,
,73.72.04,4 Bacukiki Barat,,,,,6,,,,Perda No. 4/2007
,73.73,24 KOTA PALOPO,Palopo,,,9,48,0,273,183.427,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.73.01,1 Wara,,,,,6,,,,
,73.73.02,2 Wara Utara,,,,,6,,,,
,73.73.03,3 Wara Selatan,,,,,4,,,,
,73.73.04,4 Telluwanua,,,,,7,,,,
,73.73.05,5 Wara Timur,,,,,7,,,,Perda No. 3/2005
,73.73.06,6 Wara Barat,,,,,5,,,,Perda No. 3/2005
,73.73.07,7 Sendana,,,,,4,,,,Perda No. 3/2005
,73.73.08,8 Mungkajang,,,,,4,,,,
