K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.08.23.2001,,,,,,1 Keureutou,,Semula wil. Kec. Tanah Pasir
11.08.23.2002,,,,,,2 Lueng Baro,,Semula wil. Kec. Tanah Pasir
11.08.23.2003,,,,,,3 Merbo Jurong,,Semula wil. Kec. Tanah Pasir
11.08.23.2004,,,,,,4 Merbo Lama,,Semula wil. Kec. Tanah Pasir
11.08.23.2005,,,,,,5 Tanjong Dama,,Semula wil. Kec. Tanah Pasir
11.08.23.2006,,,,,,6 Geulanggang Baro,,Semula wil. Kec. Tanah Pasir
11.08.23.2007,,,,,,7 Matang Tunong,,Semula wil. Kec. Tanah Pasir
11.08.23.2008,,,,,,8 Keude Lapang,,Semula wil. Kec. Tanah Pasir
11.08.23.2009,,,,,,9 Matang Baroh,,Semula wil. Kec. Tanah Pasir
11.08.23.2010,,,,,,10 Kuala Kereuto,,"Semula wil. Kec. Tanah Pasir, Perbaikan nama sesuai Validasi Data
Nama dan Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina
Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.08.23.2011,,,,,,11 Kuala Cangkoy,,"Semula wil. Kec. Tanah Pasir, Perbaikan nama sesuai Validasi Data
Nama dan Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina
Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.08.24,,,,24Pirak Timur,-,23,,Qanun No. 32/2005
11.08.24.2001,,,,,,1 Rayeuk Pange,,Semula wil. Kec. Matang Kuli
11.08.24.2002,,,,,,2 Bungong,,Semula wil. Kec. Matang Kuli
11.08.24.2003,,,,,,3 Geulumpang,,"Semula wil. Kec. Matang Kuli, Perbaikan nama sesuai Validasi Data
Nama dan Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina
Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.08.24.2004,,,,,,4 Asan Krueng Kreh,,Semula wil. Kec. Matang Kuli
11.08.24.2005,,,,,,5 Beuracan Rata,,Semula wil. Kec. Matang Kuli
11.08.24.2006,,,,,,6 Reungkam,,Semula wil. Kec. Matang Kuli
11.08.24.2007,,,,,,7 Trieng Krueng Kreh,,Semula wil. Kec. Matang Kuli
11.08.24.2008,,,,,,8 Keutapang,,Semula wil. Kec. Matang Kuli
11.08.24.2009,,,,,,9 Bili Baro,,Semula wil. Kec. Matang Kuli
11.08.24.2010,,,,,,10 Paya Lueng Jalo,,"Semula wil. Kec. Matang Kuli, Perbaikan nama sesuai Validasi Data
Nama dan Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina
Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.08.24.2011,,,,,,11 Alue Rimee,,"Semula wil. Kec. Matang Kuli, Perbaikan nama sesuai Validasi Data
Nama dan Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina
Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.08.24.2012,,,,,,12 Serdang,,Semula wil. Kec. Matang Kuli
11.08.24.2013,,,,,,"13 Ara Ton-Ton
Moncrang",,"Semula wil. Kec. Matang Kuli, Perbaikan nama sesuai Surat Pem Aceh
No. 146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai Validasi
Data Nama dan Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi
Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.08.24.2014,,,,,,14 Tanjong Seureukuy,,"Semula wil. Kec. Matang Kuli, Perbaikan nama sesuai Validasi Data
Nama dan Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina
Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.08.24.2015,,,,,,15 Ulee Blang,,Semula wil. Kec. Matang Kuli
11.08.24.2016,,,,,,16 Krueng Pirak,,"Semula wil. Kec. Matang Kuli, Perbaikan nama sesuai Validasi Data
Nama dan Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina
Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
