K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
64,KALIMANTAN TIMUR,,,,,,,
64.01,KAB. PASER,,,10,5,139,"10.708,203","Perubahan Nama Kab. Pasir menjadi Paser, PP No. 49/2007,
Perubahan nama Ibu Kota PP No. 7/2013.
Luas Wilayah Indikatif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
64.01.01,,,,1Batu Sopang,-,9,,
,,,,,,Tanjung Pinang,,Menjadi wil. Kec. Muara Samu
,,,,,,Rantau Atas,,Menjadi wil. Kec. Muara Samu
,,,,,,Libur Dinding,,Menjadi wil. Kec. Muara Samu
,,,,,,Luan,,Menjadi wil. Kec. Muara Samu
,,,,,,Suweto,,Menjadi wil. Kec. Muara Samu
,,,,,,Muser,,Menjadi wil. Kec. Muara Samu
,,,,,,Biu,,Menjadi wil. Kec. Muara Samu
,,,,,,Rantau Bitungan,,Menjadi wil. Kec. Muara Samu
64.01.01.2009,,,,,,1 Samurangau,,"Perbaikan nama desa semula Samuranggau menjadi Samurangau,
sesuai:
Surat Dirjen Bina Pemdes No. 145/2979/BPD tgl 13 Juni 2022; dan
Surat Bupati Paser No. 140/999/DPMD/2022 tgl 17 Mei 2022."
64.01.01.2010,,,,,,2 Busui,,
64.01.01.2011,,,,,,3 Batu Kajang,,
64.01.01.2012,,,,,,4 Legai,,
64.01.01.2013,,,,,,5 Sungai Terik,,"Perubahan nama desa sesuai Surat Bup No. 140/389/VI/BPMPD tgl 9
Juni 2015"
64.01.01.2014,,,,,,6 Kasungai,,
64.01.01.2015,,,,,,7 Rantau Buta,,
64.01.01.2016,,,,,,8 Rantau Layung,,
64.01.01.2017,,,,,,9 Songka,,Pemekaran sebagian Desa Batu Kajang Perda No. 1/2010
64.01.02,,,,2Tanjung Harapan,-,7,,
,,,,,,Kerang,,Menjadi wil. Kec. Batu Engau
,,,,,,Lomu,,Menjadi wil. Kec. Batu Engau
,,,,,,Segedang,,Menjadi wil. Kec. Batu Engau
64.01.02.2004,,,,,,1 Keladen,,
,,,,,,Mengkudu,,Menjadi wil. Kec. Batu Engau
64.01.02.2006,,,,,,2 Tanjung Aru,,"Perubahan nama desa sesuai Surat Bup No. 140/389/VI/BPMPD tgl 9
Juni 2015"
64.01.02.2007,,,,,,3 Labuangkallo,,
,,,,,,Riwang,,Menjadi wil. Kec. Batu Engau
,,,,,,Langgai,,Menjadi wil. Kec. Batu Engau
,,,,,,Petangis,,Menjadi wil. Kec. Batu Engau
,,,,,,Tempakan,,Menjadi wil. Kec. Batu Engau
,,,,,,,,
