NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XXI,62,KALIMANTAN TENGAH,,13,1,136,139,1432,153.444,2.672.790,
,62.01,1 KAB. KOTAWARINGIN BARAT,Pangkalan Bun,,,6,13,81,9.480,276.197,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,62.01.01,1 Kumai,,,,,3,15,,,
,62.01.02,2 Arut Selatan,,,,,7,13,,,
,62.01.03,3 Kotawaringin Lama,,,,,2,15,,,
,62.01.04,4 Arut Utara,,,,,1,10,,,
,62.01.05,5 Pangkalan Lada,,,,,,11,,,Perda 10/2003
,62.01.06,6 Pangkalan Banteng,,,,,,17,,,Perda 10/2003
,62.02,2 KAB. KOTAWARINGIN TIMUR,Sampit,,,17,17,168,15.544,417.509,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,62.02.01,1 Kota Besi,,,,,2,9,,,
,62.02.02,2 Cempaga,,,,,,8,,,
,62.02.03,3 Mentaya Hulu,,,,,1,15,,,
,62.02.04,4 Parenggean,,,,,1,14,,,
,62.02.05,5 Baamang,,,,,5,1,,,
,62.02.06,6 Mentawa Baru Ketapang,,,,,5,6,,,
,62.02.07,7 Mentaya Hilir Utara,,,,,,7,,,
,62.02.08,8 Mentaya Hilir Selatan,,,,,2,8,,,
,62.02.09,9 Pulau Hanaut,,,,,,14,,,
,62.02.10,10 Antang Kalang,,,,,,15,,,
,62.02.11,11 Teluk Sampit,,,,,,6,,,Perda No. 10/2003
,62.02.12,12 Seranau,,,,,1,5,,,Perda No. 10/2003
,62.02.13,13 Cempaga Hulu,,,,,,11,,,Perda No. 10/2003
,62.02.14,14 Telawang,,,,,,6,,,Perda No. 37/2006
,62.02.15,15 Bukit Santuai,,,,,,14,,,Perda No. 37/2006
,62.02.16,16 Tualan Hulu,,,,,,11,,,Pemekaran Kecamatan Perda No. 16/2010
,62.02.17,17 Telaga Antang,,,,,,18,,,Pemekaran Kecamatan Perda No. 16/2010
,62.03,3 KAB. KAPUAS,Kuala Kapuas,,,17,17,214,17.034,411.979,"Luas Wilayah Indikatif PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,62.03.01,1 Selat,,,,,8,2,,,
,62.03.02,2 Kapuas Hilir,,,,,5,3,,,
,62.03.03,3 Kapuas Timur,,,,,,7,,,
