NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,34.04.13,13 Sleman,,,,,,5,,,
,34.04.14,14 Tempel,,,,,,8,,,
,34.04.15,15 Turi,,,,,,4,,,
,34.04.16,16 Pakem,,,,,,5,,,
,34.04.17,17 Cangkringan,,,,,,5,,,
,34.71,5 KOTA YOGYAKARTA,Yogyakarta,,,14,45,0,33,412.589,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,34.71.01,1 Tegalrejo,,,,,4,,,,
,34.71.02,2 Jetis,,,,,3,,,,
,34.71.03,3 Gondokusuman,,,,,5,,,,
,34.71.04,4 Danurejan,,,,,3,,,,
,34.71.05,5 Gedongtengen,,,,,2,,,,
,34.71.06,6 Ngampilan,,,,,2,,,,
,34.71.07,7 Wirobrajan,,,,,3,,,,
,34.71.08,8 Mantrijeron,,,,,3,,,,
,34.71.09,9 Kraton,,,,,3,,,,
,34.71.10,10 Gondomanan,,,,,2,,,,
,34.71.11,11 Pakualaman,,,,,2,,,,
,34.71.12,12 Mergangsan,,,,,3,,,,
,34.71.13,13 Umbulharjo,,,,,7,,,,
,34.71.14,14 Kotagede,,,,,3,,,,
JUMLAH,,,,4,1,78,46,392,3.171,3.677.522,
