K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
63,KALIMANTAN SELATAN,,,,,,,
63.71,KOTA BANJARMASIN,,,5,52,0,"98,372","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
63.71.01,,,,1Banjarmasin Selatan,12,-,,
63.71.01.1001,,,,,1Mantuil,,,
63.71.01.1002,,,,,2Kelayan Selatan,,,
63.71.01.1003,,,,,3Pekauman,,,
63.71.01.1004,,,,,4Kelayan Barat,,,
63.71.01.1005,,,,,5Kelayan Tengah,,,
63.71.01.1006,,,,,6Kelayan Dalam,,,
63.71.01.1007,,,,,7Murung Raya,,,
63.71.01.1008,,,,,8Kelayan Timur,,,
63.71.01.1009,,,,,9Tanjung Pagar,,,
63.71.01.1010,,,,,10Pemurus Dalam,,,
63.71.01.1011,,,,,11Pemurus Baru,,,
63.71.01.1012,,,,,12Basirih Selatan,,,Pemekaran Kelurahan Perda No. 1/2010
63.71.02,,,,2Banjarmasin Timur,9,-,,
63.71.02.1001,,,,,1Kuripan,,,
63.71.02.1002,,,,,2Kebun Bunga,,,
63.71.02.1003,,,,,3Karang Mekar,,,
63.71.02.1004,,,,,4Sungai Bilu,,,
63.71.02.1005,,,,,5Sungai Lulut,,,
63.71.02.1006,,,,,6Banua Anyar,,,
63.71.02.1007,,,,,7Pengambangan,,,
63.71.02.1008,,,,,8Pekapuran Raya,,,
63.71.02.1009,,,,,9Pemurus Luar,,,
63.71.03,,,,3Banjarmasin Barat,9,-,,
63.71.03.1001,,,,,1Belitung Utara,,,
63.71.03.1002,,,,,2Belitung Selatan,,,
63.71.03.1003,,,,,3Pelambuan,,,
63.71.03.1004,,,,,4Telaga Biru,,,
63.71.03.1005,,,,,5Telawang,,,
63.71.03.1006,,,,,6Teluk Tiram,,,
63.71.03.1007,,,,,7Kuin Selatan,,,
63.71.03.1008,,,,,8Kuin Cerucuk,,,
63.71.03.1009,,,,,9Basirih,,,
63.71.04,,,,4Banjarmasin Utara,10,-,,
63.71.04.1001,,,,,1Alalak Tengah,,,
,,,,,,,,
