Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
72.11.40004,Pulau Bakung Pauno,,"01°57'01.10"" S 123°38'06.81"" T",
72.11.40005,Pulau Balai,,"01°52'39.60"" S 123°06'24.35"" T",
72.11.40006,Pulau Batetean,,"01°38'05.89"" S 123°28'59.06"" T",
72.11.40007,Pulau Batu Gurita,,"01°40'14.04"" S 123°28'51.93"" T",
72.11.40008,Pulau Batu Kokungan Selatan,,"01°40'10.47"" S 123°28'49.15"" T",
72.11.40009,Pulau Batu Kokungan Tengah,,"01°40'10.42"" S 123°28'48.61"" T",
72.11.40010,Pulau Batu Lambut,,"02°13'47.23"" S 123°08'30.78"" T",
72.11.40011,Pulau Batu Moute,,"02°13'23.52"" S 123°08'53.46"" T",
72.11.40012,Pulau Batu Peti,,"01°30'22.10"" S 123°31'31.90"" T",
72.11.40013,Pulau Batubandang,,"01°41'08.30"" S 123°27'24.00"" T",
72.11.40014,Pulau Batukokoa,,"01°48'02.66"" S 123°08'42.45"" T",
72.11.40015,Pulau Batuludu,,"01°57'14.50"" S 123°42'59.50"" T",
72.11.40016,Pulau Batumamandeng,,"01°53'38.29"" S 123°05'56.19"" T",
72.11.40017,Pulau Batumandi,,"02°00'38.98"" S 123°48'23.46"" T",
72.11.40018,Pulau Batuonitu,,"01°44'19.50"" S 123°20'09.30"" T",
72.11.40019,Pulau Batupanaapi,,"01°44'22.04"" S 123°21'19.10"" T",TBP
72.11.40020,Pulau Batupasuibebe,,"02°03'20.35"" S 123°53'19.02"" T",
72.11.40021,Pulau Batuputih,,"02°13'16.56"" S 123°08'54.36"" T",
72.11.40022,Pulau Batutotosan Barat,,"01°52'30.40"" S 123°06'43.49"" T",
72.11.40023,Pulau Batutotosan Timur,,"01°52'30.90"" S 123°06'48.89"" T",
72.11.40024,Pulau Bone Bulusan,,"01°50'45.10"" S 123°08'42.40"" T",
72.11.40025,Pulau Bulutan Manuk,,"01°59'43.16"" S 123°29'28.78"" T",
72.11.40026,Pulau Bulutan Manuk Pauno,,"02°00'07.58"" S 123°29'31.74"" T",
72.11.40027,Pulau Kau,,"01°54'38.43"" S 123°38'19.47"" T",
72.11.40028,Pulau Kramat,,"01°38'03.44"" S 123°28'56.59"" T",
72.11.40029,Pulau Kramat Kecil,,"01°38'03.04"" S 123°28'57.95"" T",
72.11.40030,Pulau Lokoi Pauno,,"02°07'59.30"" S 123°26'58.70"" T",
72.11.40031,Pulau Lokotoi Kecil Utara,,"01°28'40.50"" S 123°31'59.09"" T",
72.11.40032,Pulau Lombongan,,"01°42'03.28"" S 123°23'10.71"" T",
72.11.40033,Pulau Lupasah,,"01°59'39.50"" S 123°29'14.60"" T",
72.11.40034,Pulau Luppasan Selatan,,"01°57'32.51"" S 123°39'00.64"" T",
72.11.40035,Pulau Luppasan Tengah,,"01°57'06.91"" S 123°39'10.32"" T",
72.11.40036,Pulau Luppasan Utara,,"01°56'56.94"" S 123°39'15.19"" T",
72.11.40037,Pulau Mamasigi,,"02°04'20.22"" S 123°52'26.57"" T",TBP
72.11.40038,Pulau Mboleng,,"01°57'54.13"" S 123°39'41.65"" T",
72.11.40039,Pulau Mbombole Selatan,,"02°01'19.60"" S 123°45'33.99"" T",
72.11.40040,Pulau Mbombole Tengah,,"02°01'13.62"" S 123°45'35.86"" T",
72.11.40041,Pulau Mbombole Utara,,"02°01'05.57"" S 123°45'40.52"" T",
72.11.40042,Pulau Mbomboleh Pauno,,"02°01'12.25"" S 123°45'39.93"" T",
72.11.40043,Pulau Mongunbasan Pauno,,"02°00'43.92"" S 123°46'18.32"" T",
