NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
X,21,KEPULAUAN RIAU,,5,2,80,144,275,8.270,2.101.215,
,21.01,1 KAB. BINTAN,Bandar Seri Bentan,,,10,15,36,1.317,169.447,"Perubahan Nama Kab. Kepri, PP No. 5/2006.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,Singkep,,,,,,,,,"Menjadi Wil. Kab. Lingga, UU. No. 31/2003"
,,Lingga,,,,,,,,,"Menjadi Wil. Kab. Lingga, UU. No. 31/2003"
,,Senayang,,,,,,,,,"Menjadi Wil. Kab. Lingga, UU. No. 31/2003"
,21.01.04,4 Gunung Kijang,,,,,1,3,,,
,,Singkep Barat,,,,,,,,,"Menjadi Wil. Kab. Lingga, UU. No. 31/2003"
,21.01.06,6 Bintan Timur,,,,,4,,,,
,21.01.07,7 Bintan Utara,,,,,4,1,,,
,21.01.08,8 Teluk Bintan,,,,,1,5,,,
,21.01.09,9 Tambelan,,,,,1,7,,,
,21.01.10,10 Telok Sebong,,,,,1,6,,,
,,Lingga Utara,,,,,,,,,"Menjadi Wil. Kab. Lingga, UU. No. 31/2003"
,21.01.12,12 Toapaya,,,,,1,3,,,Perda No. 12/2007
,21.01.13,13 Mantang,,,,,,4,,,Perda No. 12/2007
,21.01.14,14 Bintan Pesisir,,,,,,4,,,Perda No. 12/2007
,21.01.15,15 Seri Kuala Lobam,,,,,2,3,,,Perda No. 12/2007
,21.02,2 KAB. KARIMUN,Tj. Balai Karimun,,,14,29,42,930,262.075,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas darat dengan kab/kota lainnya)."
,21.02.01,1 Moro,,,,,2,3,,,
,21.02.02,2 Kundur,,,,,3,3,,,
,21.02.03,3 Karimun,,,,,6,,,,
,21.02.04,4 Meral,,,,,6,,,,
,21.02.05,5 Tebing,,,,,5,1,,,
,21.02.06,6 Buru,,,,,2,2,,,
,21.02.07,7 Kundur Utara,,,,,1,4,,,
,21.02.08,8 Kundur Barat,,,,,1,4,,,
,21.02.09,9 Durai,,,,,,4,,,
,21.02.10,10 Meral Barat,,,,,2,2,,,"Pemekaran sebagian wil Kec. Meral dan Kec. Tebing, Perda No. 2/2012"
,21.02.11,11 Ungar,,,,,1,3,,,"Pemekaran sebagian wil Kec. Kundur, Perda No. 2/2012"
