K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.16.03.2035,,,,,,30 Alue Lhok,,
11.16.03.2036,,,,,,31 Suka Jadi Paya Bujok,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh.
Perbaikan nama desa semula Sukajadi Paya Bujok menjadi Suka Jadi
Paya Bujok, sesuai:
Qanun No. 14 Tahun 2021; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
,,,,,,Sekerak Kanan,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
,,,,,,Lubuk Sidup,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
,,,,,,Sekumur,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
,,,,,,Tj. Geulempang,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
,,,,,,Pematang Durian,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
,,,,,,Juar,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
,,,,,,Sulam,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
,,,,,,Suka Makmur,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
,,,,,,Baling Karang,,"Menjadi wil. Kec. Sekerak, Qanun No. 6/2006"
11.16.04,,,,4Seruway,-,24,,
,,,,,,Tiga Lama,,
11.16.04.2002,,,,,,1 Pekan Seruway,,"Perbaikan nama sesuai Surat Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.16.04.2003,,,,,,2 Binjai,,
11.16.04.2004,,,,,,3 Pantai Balai,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.16.04.2005,,,,,,4 Padang Langgis,,
11.16.04.2006,,,,,,5 Suka Ramai Satu,,"Perbaikan nama sesuai Srt Ditjen Pemdes No. 145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi.
Perbaikan nama desa semula Sukaramai Satu menjadi Suka Ramai
Satu, sesuai:
Qanun No. 14 Tahun 2021; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.16.04.2007,,,,,,6 Suka Ramai Dua,,"Perbaikan nama sesuai Srt Ditjen Pemdes No. 145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi.
Perbaikan nama desa semula Sukaramai Dua menjadi Suka Ramai Dua,
sesuai:
Qanun No. 14 Tahun 2021; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.16.04.2008,,,,,,"7 Perkebunan
Seruway",,
11.16.04.2009,,,,,,8 Gedung Biara,,
11.16.04.2010,,,,,,9 Alur Alim,,
11.16.04.2011,,,,,,10 Tualang,,
11.16.04.2012,,,,,,11 Matang Sentang,,
,,,,,,,,
