K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
53,NUSA TENGGARA TIMUR,,,,,,,
53.07,KAB. SIKKA,,,21,13,181,"1.671,649","Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
53.07.01,,,,1Paga,-,14,,
53.07.01.2001,,,,,,1 Masabewa,,
,,,,,,Tuwa,,"Menjadi wil. Kec. Tana Wawo, Perda No. 4/2007"
53.07.01.2003,,,,,,2 Wolowiro,,
53.07.01.2004,,,,,,3 Mbengu,,
53.07.01.2005,,,,,,4 Paga,,
,,,,,,Bu Selatan,,"Menjadi wil. Kec. Tana Wawo, Perda No. 4/2007"
,,,,,,Loke,,"Menjadi wil. Kec. Tana Wawo, Perda No. 4/2007"
53.07.01.2008,,,,,,5 Lenandareta,,
,,,,,,Renggarasi,,"Menjadi wil. Kec. Tana Wawo, Perda No. 4/2007"
,,,,,,Detubinga,,"Menjadi wil. Kec. Tana Wawo, Perda No. 4/2007"
,,,,,,Bu Watuweti,,"Menjadi wil. Kec. Tana Wawo, Perda No. 4/2007"
53.07.01.2012,,,,,,6 Mauloo,,
53.07.01.2013,,,,,,7 Wolorega,,
,,,,,,Bu Utara,,"Menjadi wil. Kec. Tana Wawo, Perda No. 4/2007"
53.07.01.2015,,,,,,8 Wolowona,,
,,,,,,Poma,,"Menjadi wil. Kec. Tana Wawo, Perda No. 4/2007"
53.07.01.2017,,,,,,9 Begu,,"Pemekaran dari Desa Wolowiro ; Perda Kab. Sikka No 2 Tahun 2022
tentang Pembentukan 34 (Tiga Puluh Empat) Desa Dalam Wilayah
Kabupaten Sikka"
53.07.01.2018,,,,,,10 Kotandelu,,"Pemekaran dari Desa Mbengu ; Perda Kab. Sikka No 2 Tahun 2022
tentang Pembentukan 34 (Tiga Puluh Empat) Desa Dalam Wilayah
Kabupaten Sikka"
53.07.01.2019,,,,,,11 Lowolabo,,"Pemekaran dari Desa Paga ; Perda Kab. Sikka No 2 Tahun 2022
tentang Pembentukan 34 (Tiga Puluh Empat) Desa Dalam Wilayah
Kabupaten Sikka"
53.07.01.2020,,,,,,12 Aebubu,,"Pemekaran dari Desa Paga ; Perda Kab. Sikka No 2 Tahun 2022
tentang Pembentukan 34 (Tiga Puluh Empat) Desa Dalam Wilayah
Kabupaten Sikka"
53.07.01.2021,,,,,,13 Regapu’u,,"Pemekaran dari Desa Wolorega ; Perda Kab. Sikka No 2 Tahun 2022
tentang Pembentukan 34 (Tiga Puluh Empat) Desa Dalam Wilayah
Kabupaten Sikka"
53.07.01.2022,,,,,,14 Rejo,,"Pemekaran dari Desa Wolorega ; Perda Kab. Sikka No 2 Tahun 2022
tentang Pembentukan 34 (Tiga Puluh Empat) Desa Dalam Wilayah
Kabupaten Sikka"
53.07.02,,,,2Mego,-,12,,
53.07.02.2001,,,,,,1 Bhera,,
53.07.02.2002,,,,,,2 Dobo,,
,,,,,,,,
