K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
71,SULAWESI UTARA,,,,,,,
71.02,KAB. MINAHASA,,,25,43,227,"1.128,453","Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
71.02.01,,,,1Tondano Barat,9,-,,
,,,,,Urongo,,,"Menjadi wil. Kec. Tondano Selatan, Perda No. 26/2004"
,,,,,Paleloan,,,"Menjadi wil. Kec. Tondano Selatan, Perda No. 26/2004"
,,,,,Tounsaru,,,"Menjadi wil. Kec. Tondano Selatan, Perda No. 26/2004"
,,,,,Tataaran II,,,"Menjadi wil. Kec. Tondano Selatan, Perda No. 26/2004"
,,,,,Tataran I,,,"Menjadi wil. Kec. Tondano Selatan, Perda No. 26/2004"
,,,,,Koya,,,"Menjadi wil. Kec. Tondano Selatan, Perda No. 26/2004"
71.02.01.1007,,,,,1Masarang,,,
71.02.01.1008,,,,,2Rinegetan,,,
71.02.01.1009,,,,,3Roong,,,
71.02.01.1010,,,,,4Tuutu,,,
71.02.01.1011,,,,,5Tounkuramber,,,
71.02.01.1012,,,,,6Wawalintouan,,,
71.02.01.1013,,,,,7Rerewokan,,,
71.02.01.1014,,,,,8Watulambot,,,
71.02.01.1015,,,,,9Wewelan,,,
,,,,,Sumalangka,,,Menjadi wil. Kec. Tondano Utara
,,,,,Sasaran,,,Menjadi wil. Kec. Tondano Utara
,,,,,Tataaran Patar,,,"Perda No. 17/2004, menjadi wil. Kec.Tondano Selatan, Perda No.
26/2004"
,,,,,Maesa Unima,,,"Perda No. 18/2004, menjadi wil. Kec. Tondano Selatan, Perda No.
26/2004"
71.02.02,,,,2Tondano Timur,11,-,,
71.02.02.1001,,,,,1Luaan,,,
,,,,,Kampung Jawa,,,Menjadi wil. Kec. Tondano Utara
,,,,,Wulauan,,,Menjadi wil. Kec. Tondano Utara
,,,,,Marawas,,,Menjadi wil. Kec. Tondano Utara
71.02.02.1005,,,,,2Ranowangko,,,
71.02.02.1006,,,,,3Wengkol,,,
71.02.02.1007,,,,,4Kendis,,,
71.02.02.1008,,,,,5Katinggolan,,,
71.02.02.1009,,,,,6Liningaan,,,
71.02.02.1010,,,,,7Taler,,,
71.02.02.1011,,,,,8Kiniar,,,
71.02.02.1012,,,,,9Touluor,,,
71.02.02.1013,,,,,10Papakelan,,,
