K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.02.10.2014,,,,,,14 Kampung Baru,,
11.02.10.2015,,,,,,15 Sepakat Segenap,,
11.02.10.2016,,,,,,16 Selamat Indah,,
11.02.10.2017,,,,,,17 Lawe Kinge Lapter,,"Qanun No. 33/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.10.2018,,,,,,18 Lawe Mejile,,"Qanun No. 33/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.10.2019,,,,,,19 Lawe Petanduk-II,,Qanun No. 33/2006
11.02.11,,,,11Babul Rahmah,-,27,,
,,,,,,Salim Pinim,,"Menjadi wil. Kec. Tanah Alas, Qanun No. 19/2006"
,,,,,,Tenebak Alas,,"Menjadi wil. Kec. Tanah Alas, Qanun No. 19/2006"
,,,,,,Jambur Damar,,"Menjadi wil. Kec. Tanah Alas, Qanun No. 19/2006"
11.02.11.2004,,,,,,1 Titi Mas,,
11.02.11.2005,,,,,,2 Meranti,,
11.02.11.2006,,,,,,3 Kute Lang-Lang,,
11.02.11.2007,,,,,,4 Lawe Sumur,,
11.02.11.2008,,,,,,5 Pardamaian,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.11.2009,,,,,,6 Salim Pipit,,
11.02.11.2010,,,,,,7 Penguhapan,,
11.02.11.2011,,,,,,8 Lumban Tua,,
11.02.11.2012,,,,,,9 Mutiara Damai,,
11.02.11.2013,,,,,,10 Dolok Nauli,,
11.02.11.2014,,,,,,11 Tuhi Jongkat,,
11.02.11.2015,,,,,,12 Uning Sigugur,,
11.02.11.2016,,,,,,13 Lumban Sitio-tio,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.02.11.2017,,,,,,14 Lawe Malum,,"Perbaikan nama Surat Pem Aceh No.146.1/10560 tgl 13 Juni 2016,
Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.11.2018,,,,,,15 Alur Baning,,
11.02.11.2019,,,,,,16 Lingga Alas,,"Qanun No. 34/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017"
11.02.11.2020,,,,,,17 Khambung Tumbung,,Qanun No. 34/2006
11.02.11.2021,,,,,,18 Tuah Mesade,,Qanun No. 34/2006
11.02.11.2022,,,,,,19 Sumukh Alas,,Qanun No. 34/2006
11.02.11.2023,,,,,,20 Alukh Bakhu,,Qanun No. 34/2006
,,,,,,,,
