NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XXVIII,74,SULAWESI TENGGARA,,15,2,221,379,1908,36.160,2.690.791,
,74.01,1 KAB. KOLAKA,Kolaka,,,12,35,100,2.959,240.749,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,74.01.01,1 Wundulako,,,,,6,5,,,
,74.01.04,2 Kolaka,,,,,7,,,,
,,Lasusua,,,,,,,,,"Menjadi wil. Kab. Kolaka Utara, UU. No. 29/2003"
,,Pakue,,,,,,,,,"Menjadi wil. Kab. Kolaka Utara, UU. No. 29/2003"
,74.01.07,5 Pomalaa,,,,,4,8,,,
,74.01.08,6 Watubangga,,,,,3,11,,,
,74.01.10,7 Wolo,,,,,2,12,,,
,,Batu Putih,,,,,,,,,"Menjadi wil. Kab. Kolaka Utara, UU. No. 29/2003"
,74.01.12,9 Baula,,,,,1,9,,,
,74.01.14,10 Latambaga,,,,,7,,,,
,,Rante Angin,,,,,,,,,"Menjadi wil. Kab. Kolaka Utara, UU. No. 29/2003"
,,Kodeoha,,,,,,,,,"Menjadi wil. Kab. Kolaka Utara, UU. No. 29/2003"
,,Ngapa,,,,,,,,,"Menjadi wil. Kab. Kolaka Utara, UU. No. 29/2003"
,74.01.18,14 Tanggetada,,,,,1,13,,,
,74.01.20,15 Samaturu,,,,,2,17,,,
,74.01.24,16 Toari,,,,,1,9,,,Perda No. 20/2007
,74.01.25,17 Polinggona,,,,,1,6,,,Perda No. 20/2007
,74.01.27,18 Iwoimendaa,,,,,,10,,,Pemekaran sebagian wil Kec Wolo Perda No. 8/2012
,74.02,2 KAB. KONAWE,Unaaha,,,28,58,291,5.352,260.765,"Luas Wilayah Indikatif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,74.02.01,1 Lambuya,,,,,1,9,,,
,74.02.02,2 Unaaha,,,,,12,,,,
,74.02.03,3 Wawotobi,,,,,12,7,,,
,74.02.04,4 Pondidaha,,,,,1,17,,,
,74.02.05,5 Sampara,,,,,2,13,,,
,74.02.10,6 Abuki,,,,,1,11,,,
,74.02.11,7 Soropia,,,,,1,14,,,
,74.02.15,8 Tongauna,,,,,5,5,,,
,74.02.16,9 Latoma,,,,,1,10,,,
,74.02.17,10 Puriala,,,,,1,15,,,
