NO,KODE,NAMA PROVINSI *,JUMLAH PULAU **
27,73,SULAWESI SELATAN,370
28,74,SULAWESI TENGGARA,590
29,75,GORONTALO,127
30,76,SULAWESI BARAT,69
31,81,MALUKU,"1,388"
32,82,MALUKU UTARA,901
33,91,P A P U A,527
34,92,PAPUA BARAT,"4,520"
35,93,PAPUA SELATAN,7
36,94,PAPUA TENGAH,50
,,JUMLAH,17.001
