Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
12.01.40028,Pulau Talam,,"01°37'08.00"" U 098°35'16.00"" T",BP
12.01.40029,Pulau Tarida,,"01°34'44.00"" U 098°36'04.00"" T",TBP
12.01.40030,Pulau Tarida Menek,,"01°34'39.50"" U 098°36'05.20"" T",TBP
12.01.40031,Pulau Ungge,,"01°34'28.99"" U 098°45'33.00"" T",BP
12.02,KAB. TAPANULI UTARA,1,,
12.02.40001,Pulau Sibandang,,"02°21'36.00"" U 098°54'00.00"" T",BP
12.04,KAB. NIAS,5,,
12.04.40001,Pulau Musi,,"01°04'46.99"" U 097°55'46.99"" T",TBP
12.04.40002,Pulau Onolimbu,,"01°04'32.00"" U 097°54'14.00"" T",TBP
12.04.40003,Pulau Somambawa,,"00°54'31.79"" U 098°01'08.68"" T",
12.04.40004,Pulau Zbma Sebua,,"01°01'28.36"" U 097°57'16.83"" T",BP
12.04.40005,Pulau Zima Siideide,,"01°01'21.00"" U 097°57'56.00"" T",TBP
12.05,KAB. LANGKAT,10,,
12.05.40001,Pulau Jaring Halus,,"03°56'30.87"" U 098°34'05.02"" T",
12.05.40002,Pulau Kampai,,"04°13'45.00"" U 098°13'48.00"" T",BP
12.05.40003,Pulau Kera,,"04°06'57.17"" U 098°11'59.41"" T",
12.05.40004,Pulau Kwala,,"03°54'07.80"" U 098°38'04.60"" T",
12.05.40005,Pulau Pangkalan Biduk,,"04°00'27.75"" U 098°29'29.53"" T",
12.05.40006,Pulau Panjang,,"04°07'22.00"" U 098°11'48.99"" T",BP
12.05.40007,Pulau Pusung,,"03°54'09.37"" U 098°39'34.94"" T",
12.05.40008,Pulau Rawa,,"04°07'49.00"" U 098°11'24.00"" T",TBP
12.05.40009,Pulau Sambilan,,"04°09'20.00"" U 098°15'19.00"" T",TBP
12.05.40010,Pulau Selingkar,,"04°00'09.00"" U 098°23'39.00"" T",BP
12.07,KAB. DELI SERDANG,1,,
12.07.40001,Pulau Beting Sabut,,"03°46'39.69"" U 098°39'39.10"" T",
12.08,KAB. SIMALUNGUN,1,,
12.08.40001,Pulau Ole,,"02°43'46.99"" U 098°51'51.99"" T",TBP
12.09,KAB. ASAHAN,3,,
12.09.40001,Pulau Nyiur,,"02°55'57.38"" U 099°49'58.21"" T",
12.09.40002,Pulau Siatan,,"02°55'42.36"" U 099°49'21.55"" T",
12.09.40003,Pulau Sigurtap,,"02°54'42.45"" U 099°49'10.30"" T",
12.10,KAB. LABUHANBATU,6,,
12.10.40001,Pulau Batuah,,"02°34'45.00"" U 099°59'16.00"" T",TBP
12.10.40002,Pulau Burung,,"02°36'15.99"" U 100°01'23.00"" T",TBP
12.10.40003,Pulau Ongah Labuhan,,"02°35'21.99"" U 100°06'52.99"" T",BP
12.10.40004,Pulau Porling,,"02°35'37.00"" U 100°00'01.00"" T",TBP
12.10.40005,Pulau Sarimas,,"02°35'06.00"" U 100°00'32.00"" T",TBP
12.10.40006,Pulau Sikantan,,"02°30'32.00"" U 100°09'41.00"" T",BP
12.13,KAB. MANDAILING NATAL,24,,
12.13.40001,Pulau Batuajung,,"01°13'14.59"" U 098°51'40.63"" T",TBP
