K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
32.76.06.1006,,,,,6Beji Timur,,,
32.76.07,,,,7Cipayung,5,-,,Perda No. 8/2007
32.76.07.1001,,,,,1Cipayung,,,Semula wil. Kec. Pancoran Mas
32.76.07.1002,,,,,2Cipayung Jaya,,,Semula wil. Kec. Pancoran Mas
32.76.07.1003,,,,,3Ratu Jaya,,,Semula wil. Kec. Pancoran Mas
32.76.07.1004,,,,,4Bojong Pondok Terong,,,Semula wil. Kec. Pancoran Mas
32.76.07.1005,,,,,5Pondok Jaya,,,Semula wil. Kec. Pancoran Mas
32.76.08,,,,8Cilodong,5,-,,Perda No. 8/2007
32.76.08.1001,,,,,1Sukamaju,,,Semula wil. Kec. Sukmajaya
32.76.08.1002,,,,,2Cilodong,,,Semula wil. Kec. Sukmajaya
32.76.08.1003,,,,,3Kalibaru,,,Semula wil. Kec. Sukmajaya
32.76.08.1004,,,,,4Kalimulya,,,Semula wil. Kec. Sukmajaya
32.76.08.1005,,,,,5Jatimulya,,,Semula wil. Kec. Sukmajaya
32.76.09,,,,9Cinere,4,-,,Perda No. 8/2007
32.76.09.1001,,,,,1Cinere,,,Semula wil. Kec. Limo
32.76.09.1002,,,,,2Gandul,,,Semula wil. Kec. Limo
32.76.09.1003,,,,,3Pangkalan Jati,,,Semula wil. Kec. Limo
32.76.09.1004,,,,,4Pangkalan Jati Baru,,,Semula wil. Kec. Limo
32.76.10,,,,10Tapos,7,-,,Perda No. 8/2007
32.76.10.1001,,,,,1Tapos,,,Semula wil. Kec. Cimanggis
32.76.10.1002,,,,,2Leuwinanggung,,,Semula wil. Kec. Cimanggis
32.76.10.1003,,,,,3Sukatani,,,Semula wil. Kec. Cimanggis
32.76.10.1004,,,,,4Sukamaju Baru,,,Semula wil. Kec. Cimanggis
32.76.10.1005,,,,,5Jatijajar,,,Semula wil. Kec. Cimanggis
32.76.10.1006,,,,,6Cilangkap,,,Semula wil. Kec. Cimanggis
32.76.10.1007,,,,,7Cimpaeun,,,Semula wil. Kec. Cimanggis
32.76.11,,,,11Bojongsari,7,-,,Perda No. 8/2007
32.76.11.1001,,,,,1Bojongsari,,,Semula wil. Kec. Sawangan
32.76.11.1002,,,,,2Bojongsari Baru,,,Semula wil. Kec. Sawangan
32.76.11.1003,,,,,3Serua,,,Semula wil. Kec. Sawangan
32.76.11.1004,,,,,4Pondok Petir,,,Semula wil. Kec. Sawangan
32.76.11.1005,,,,,5Curug,,,Semula wil. Kec. Sawangan
32.76.11.1006,,,,,6Duren Mekar,,,Semula wil. Kec. Sawangan
32.76.11.1007,,,,,7Duren Seribu,,,Semula wil. Kec. Sawangan
