K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
72.03.24.2005,,,,,,5 Batusuya Go'o,,Perda No. 25/2007
72.03.24.2006,,,,,,6 Kaliburu Kata,,Pemekaran desa Kaliburu Perda No. 16/2011
72.03.25,,,,13Sindue Tobata,-,6,,Perda No. 5/2007
72.03.25.2001,,,,,,1 Sikara Tobata,,Perda No. 5/2007
72.03.25.2002,,,,,,2 Alindau,,Semula wil. Kec. Sindue
72.03.25.2003,,,,,,3 Oti,,Semula wil. Kec. Sindue
72.03.25.2004,,,,,,4 Tamarenja,,Semula wil. Kec. Sindue
72.03.25.2005,,,,,,5 Sipeso,,Perda No. 24/2007
72.03.25.2006,,,,,,6 Sindosa,,Pemekaran desa Tamarenja Satu Perda No. 16/2011
,,,,Dolo Barat,,,,"Perda No. 6/2007, Menjadi wil. Kab. Sigi, UU No. 27/2008"
,,,,,,Sibonu,,Semula wil. Kec. Dolo
,,,,,,Kaluku Tinggu,,Semula wil. Kec. Dolo
,,,,,,Pewunu,,Semula wil. Kec. Dolo
,,,,,,Kaleke,,Semula wil. Kec. Dolo
,,,,,,Rarampadende,,Semula wil. Kec. Dolo
,,,,,,Balumpewa,,Semula wil. Kec. Dolo
,,,,,,Balamoa,,Semula wil. Kec. Dolo
,,,,,,Pesaku,,Semula wil. Kec. Dolo
,,,,,,Mantikole,,Semula wil. Kec. Dolo
,,,,,,Bobo,,Semula wil. Kec. Dolo
72.03.27,,,,14Banawa Tengah,-,8,,Perda No. 7/2007
72.03.27.2001,,,,,,1 Powelua,,Semula wil. Kec. Banawa
72.03.27.2002,,,,,,2 Lumbudolo,,Semula wil. Kec. Banawa
72.03.27.2003,,,,,,3 Kola-Kola,,Semula wil. Kec. Banawa
72.03.27.2004,,,,,,4 Limboro,,Semula wil. Kec. Banawa
72.03.27.2005,,,,,,5 Towale,,Semula wil. Kec. Banawa
72.03.27.2006,,,,,,6 Salubomba,,Semula wil. Kec. Banawa
72.03.27.2007,,,,,,7 Mekar Baru,,Perda No. 39/2007
72.03.27.2008,,,,,,8 Lampo,,Pemekaran desa Lumbudolo Perda No. 16/2011
,,,,Lindu,,,,"Perda No. 8/2007, Menjadi wil. Kab. Sigi, UU No. 27/2008"
,,,,,,Puroo,,Semula wil. Kec. Kulawi
,,,,,,Langko,,Semula wil. Kec. Kulawi
,,,,,,Tomado,,Semula wil. Kec. Kulawi
,,,,,,Anca,,Semula wil. Kec. Kulawi
,,,,Nokilalaki,,,,"Perda No. 9/2007, Menjadi wil. Kab. Sigi, UU No. 27/2008"
,,,,,,Kamarora A,,Semula wil. Kec. Palolo
,,,,,,Kamarora B,,Semula wil. Kec. Palolo
,,,,,,Kandidia,,Semula wil. Kec. Palolo
,,,,,,Sopu,,Semula wil. Kec. Palolo
,,,,,,Bulili,,Semula wil. Kec. Palolo
