Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
61.04.40039,Pulau Nanas,,"02°45'36.00"" S 110°13'36.00"" T",TBP
61.04.40040,Pulau Pandan,,"03°00'00.15"" S 110°17'53.44"" T",
61.04.40041,Pulau Penambun,,"03°02'24.00"" S 110°13'28.99"" T",TBP
61.04.40042,Pulau Perantun,,"02°49'55.99"" S 110°05'01.00"" T",TBP
61.04.40043,Pulau Rusa Dua,,"02°15'01.00"" S 110°04'14.00"" T",TBP
61.04.40044,Pulau Rusa Satu,,"02°50'21.99"" S 110°10'09.99"" T",TBP
61.04.40045,Pulau Sanggul,,"03°03'37.00"" S 110°13'03.00"" T",TBP
61.04.40046,Pulau Sangkut,,"02°51'50.32"" S 110°54'57.26"" T",
61.04.40047,Pulau Sawi Besar,,"02°22'32.99"" S 110°03'54.00"" T",BP
61.04.40048,Pulau Sawi Kecil,,"02°22'14.99"" S 110°04'18.00"" T",BP
61.04.40049,Pulau Selatbantal,,"02°59'42.14"" S 110°18'24.72"" T",
61.04.40050,Pulau Sempadi Besar,,"01°25'54.00"" S 110°01'00.99"" T",TBP
61.04.40051,Pulau Sempadi Kecil,,"01°26'10.21"" S 110°01'25.00"" T",TBP
61.04.40052,Pulau Sempadi Laut,,"01°25'35.00"" S 110°00'20.99"" T",TBP
61.04.40053,Pulau Sentigi,,"02°10'14.99"" S 110°04'59.00"" T",TBP
61.04.40054,Pulau Serai,,"02°59'58.27"" S 110°18'06.32"" T",
61.04.40055,Pulau Tanahmerah,,"02°39'58.00"" S 110°07'09.00"" T",TBP
61.04.40056,Pulau Tating,,"02°37'34.10"" S 110°08'40.04"" T",TBP
61.04.40057,Pulau Telukperiyuh,,"02°42'03.02"" S 110°07'38.81"" T",TBP
61.04.40058,Pulau Tembiluk,,"01°47'06.05"" S 109°58'31.57"" T",
61.04.40059,Pulau Tengah,,"01°49'12.10"" S 109°55'24.12"" T",
61.04.40060,Pulau Tuntang,,"02°40'13.00"" S 110°06'47.99"" T",TBP
61.07,KAB. BENGKAYANG,12,,
61.07.40001,Pulau Baru,,"00°36'16.99"" U 108°45'13.00"" T",BP
61.07.40002,Pulau Batupayung,,"00°48'07.45"" U 108°50'25.87"" T",TBP
61.07.40003,Pulau Belacan,,"00°44'47.68"" U 108°47'34.86"" T",TBP
61.07.40004,Pulau Kabung,,"00°49'58.00"" U 108°47'03.00"" T",BP
61.07.40005,Pulau Kera,,"00°42'21.94"" U 108°52'26.88"" T",TBP
61.07.40006,Pulau Lemukutan,,"00°46'00.99"" U 108°42'33.00"" T",BP
61.07.40007,Pulau Penatah Besar,,"00°44'51.00"" U 108°45'56.99"" T",BP
61.07.40008,Pulau Penatah Kecil,,"00°45'00.00"" U 108°47'26.99"" T",BP
61.07.40009,Pulau Randayan,,"00°42'49.91"" U 108°43'38.24"" T",BP
61.07.40010,Pulau Seluas,,"00°45'23.89"" U 108°47'50.34"" T",TBP
61.07.40011,Pulau Semesak,,"00°42'32.00"" U 108°51'49.00"" T",TBP
61.07.40012,Pulau Tempurung,,"00°43'03.96"" U 108°51'35.46"" T",TBP
61.11,KAB. KAYONG UTARA,99,,
61.11.40001,Pulau Aur Besar,,"01°13'44.00"" S 109°17'48.99"" T",TBP
61.11.40002,Pulau Aur Kecil,,"01°14'06.00"" S 109°17'51.00"" T",TBP
61.11.40003,Pulau Ayer,,"01°43'58.78"" S 109°17'24.68"" T",TBP
61.11.40004,Pulau Bagu,,"01°18'56.00"" S 110°01'19.99"" T",TBP
