K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
95.03.04.2018,,,,,,18 Hwesalemo,,
95.03.04.2019,,,,,,19 Sebin,,
95.03.04.2020,,,,,,20 Wubialo,,
95.03.05,,,,5Samenage,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.03.05.2001,,,,,,1 Samenage,,
95.03.05.2002,,,,,,2 Haleroma,,
95.03.05.2003,,,,,,3 Muke,,
95.03.05.2004,,,,,,4 Pona,,
95.03.05.2005,,,,,,5 Ison,,
95.03.05.2006,,,,,,6 Asotapo,,
95.03.05.2007,,,,,,7 Hirin,,
95.03.05.2008,,,,,,8 Notnarek,,
95.03.05.2009,,,,,,9 Hugi Lokon,,"Perbaikan nama desa/kampung semula Hugilokon menjadi Hugi Lokon,
sesuai:
Perda Kab. Yahukimo No.5/2006; dan
BA No.32/TopoII/IX/2022 Tanggal 8 September 2022."
95.03.06,,,,6Nalca,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.03.06.2001,,,,,,1 Nalca,,
95.03.06.2002,,,,,,2 Cenderawasih,,
95.03.06.2003,,,,,,3 Manggona,,
95.03.06.2004,,,,,,4 Bolda,,
95.03.06.2005,,,,,,5 Emm,,
95.03.06.2006,,,,,,6 Imsekla,,
95.03.06.2007,,,,,,7 Hein,,
95.03.06.2008,,,,,,8 Luwemna,,
95.03.07,,,,7Dekai,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
95.03.07.2001,,,,,,1 Dekai,,
95.03.07.2002,,,,,,2 Kuaserama,,
95.03.07.2003,,,,,,3 Moruku,,"Perbaikan nama desa/kampung semula Maruku menjadi Moruku,
sesuai:
Perda Kab. Yahukimo No.5/2006; dan
BA No.32/TopoII/IX/2022 Tanggal 8 September 2022."
95.03.07.2004,,,,,,4 Massi,,
95.03.07.2005,,,,,,5 Keikey,,
95.03.07.2006,,,,,,6 Kuari,,
95.03.07.2007,,,,,,7 Muara,,
95.03.07.2008,,,,,,8 Kiribun,,
95.03.07.2009,,,,,,9 Kokamu,,
95.03.07.2010,,,,,,10 Tomon I,,
,,,,,,,,
