K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
71.03.12.2011,,,,,,11 Pananaru,,
71.03.12.2012,,,,,,12 D a g h o,,
71.03.12.2013,,,,,,13 Mahumu,,
71.03.12.2014,,,,,,14 Lelipang,,
71.03.12.2015,,,,,,15 Menggawa II,,
71.03.12.2016,,,,,,16 Kalama Darat,,Perda No. 2/2007
71.03.12.2017,,,,,,17 Kalinda I,,Perda No. 11/2008
71.03.12.2018,,,,,,18 Mahumu I,,Perda No. 11/2008
71.03.12.2019,,,,,,19 Mahumu II,,Perda No. 11/2008
71.03.12.2020,,,,,,20 Hesang,,Perda No. 11/2008
71.03.13,,,,6Manganitu,-,18,,
71.03.13.2001,,,,,,1 Tawoali,,
71.03.13.2002,,,,,,2 Barangka,,
71.03.13.2003,,,,,,3 Nahepese,,
71.03.13.2004,,,,,,4 Manumpitaeng,,
71.03.13.2005,,,,,,5 Taloarane,,
71.03.13.2006,,,,,,6 Mala,,
71.03.13.2007,,,,,,7 Karatung I,,
71.03.13.2008,,,,,,8 Karatung II,,
71.03.13.2009,,,,,,9 Kauhis,,
71.03.13.2010,,,,,,10 Sesiwung,,
71.03.13.2011,,,,,,11 Lebo,,
71.03.13.2012,,,,,,12 Barangkalang,,
71.03.13.2013,,,,,,13 Belengang,,
71.03.13.2014,,,,,,14 Bakalaeng,,
71.03.13.2015,,,,,,15 Hiung,,
71.03.13.2016,,,,,,16 Pinebentengang,,Perda No. 11/2008
71.03.13.2017,,,,,,17 Taloarane I,,Perda no. 11/2008
71.03.13.2018,,,,,,18 Bengka,,Perda no. 11/2008
71.03.14,,,,7Tabukan Tengah,-,18,,
71.03.14.2001,,,,,,1 Bowongkali,,
71.03.14.2002,,,,,,2 Kulur I,,
71.03.14.2003,,,,,,3 Kulur II,,
71.03.14.2004,,,,,,4 Bira,,
71.03.14.2005,,,,,,5 Kuma,,
71.03.14.2006,,,,,,6 Bungalawang,,
71.03.14.2007,,,,,,7 Miulu,,
71.03.14.2008,,,,,,8 Gunung,,
71.03.14.2009,,,,,,9 Talengen,,
71.03.14.2010,,,,,,10 Biru,,
,,,,,,,,
