NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,32.07.29,20 Cimaragas,,,,,,5,,,
,32.07.30,21 Cisaga,,,,,,11,,,
,32.07.31,22 Sindangkasih,,,,,,9,,,
,32.07.32,23 Baregbeg,,,,,,9,,,
,32.07.33,24 Sukamantri,,,,,,5,,,"Perubahan Nama Kec. Panjalu Utara, Perda No. 24/2004"
,32.07.34,25 Lumbung,,,,,,8,,,
,32.07.35,26 Purwadadi,,,,,,9,,,
,32.07.37,27 Banjaranyar,,,,,,10,,,Pemekaran sebagian wil kec Banjarsari perda No 11/2015
,32.08,8 KAB. KUNINGAN,Kuningan,,,32,15,361,1.193,1.204.584,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,32.08.01,1 Kadugede,,,,,,12,,,
,32.08.02,2 Ciniru,,,,,,9,,,
,32.08.03,3 Subang,,,,,,7,,,
,32.08.04,4 Ciwaru,,,,,,12,,,
,32.08.05,5 Cibingbin,,,,,,10,,,
,32.08.06,6 Luragung,,,,,,16,,,
,32.08.07,7 Lebakwangi,,,,,,13,,,
,32.08.08,8 Garawangi,,,,,,17,,,
,32.08.09,9 Kuningan,,,,,10,6,,,
,32.08.10,10 Ciawigebang,,,,,,24,,,
,32.08.11,11 Cidahu,,,,,,12,,,
,32.08.12,12 Jalaksana,,,,,,15,,,
,32.08.13,13 Cilimus,,,,,,13,,,
,32.08.14,14 Mandirancan,,,,,,12,,,
,32.08.15,15 Selajambe,,,,,,7,,,
,32.08.16,16 Kramatmulya,,,,,,14,,,
,32.08.17,17 Darma,,,,,,19,,,
,32.08.18,18 Cigugur,,,,,5,5,,,
,32.08.19,19 Pasawahan,,,,,,10,,,
,32.08.20,20 Nusaherang,,,,,,8,,,
,32.08.21,21 Cipicung,,,,,,10,,,
,32.08.22,22 Pancalang,,,,,,13,,,
,32.08.23,23 Japara,,,,,,10,,,
,32.08.24,24 Cimahi,,,,,,10,,,
,32.08.25,25 Cilebak,,,,,,7,,,
