NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,18.10.06,6 Banyumas,,,,,,11,,,Semula wil. Kab. Tanggamus
,18.10.07,7 Adiluwih,,,,,,13,,,Semula wil. Kab. Tanggamus
,18.10.08,8 Sukoharjo,,,,,,16,,,Semula wil. Kab. Tanggamus
,18.10.09,9 Pagelaran Utara,,,,,,10,,,"Pemekaran sebagian wil Kec. Pagelaran, Perda No. 12/2012"
,18.11,11 KAB. MESUJI,Mesuji,,,7,0,105,2.200,232.140,"UU No. 49/2008.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,18.11.01,1 Mesuji,,,,,,11,,,Semula wil. Kab.Tulang Bawang
,18.11.02,2 Mesuji Timur,,,,,,20,,,Semula wil. Kab.Tulang Bawang
,18.11.03,3 Rawa Jitu Utara,,,,,,13,,,Semula wil. Kab.Tulang Bawang
,18.11.04,4 Way Serdang,,,,,,20,,,Semula wil. Kab.Tulang Bawang
,18.11.05,5 Simpang Pematang,,,,,,13,,,Semula wil. Kab.Tulang Bawang
,18.11.06,6 Panca Jaya,,,,,,7,,,Semula wil. Kab.Tulang Bawang
,18.11.07,7 Tanjung Raya,,,,,,21,,,Semula wil. Kab.Tulang Bawang
,18.12,"12 KAB. TULANG BAWANG
BARAT",Tulang Bawang Tengah,,,9,3,100,1.257,300.328,"UU No. 50/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,18.12.01,1 Tulang Bawang Tengah,,,,,2,19,,,Semula wil. Kab. Tulang Bawang
,18.12.02,2 Tumijajar,,,,,1,9,,,Semula wil. Kab. Tulang Bawang
,18.12.03,3 Tulang Bawang Udik,,,,,,13,,,Semula wil. Kab. Tulang Bawang
,18.12.04,4 Gunung Terang,,,,,,10,,,Semula wil. Kab. Tulang Bawang
,18.12.05,5 Gunung Agung,,,,,,13,,,Semula wil. Kab. Tulang Bawang
,18.12.06,6 Way Kenanga,,,,,,10,,,Semula wil. Kab. Tulang Bawang
,18.12.07,7 Lambu Kibang,,,,,,10,,,Semula wil. Kab. Tulang Bawang
,18.12.08,8 Pagar Dewa,,,,,,6,,,Semula wil. Kab. Tulang Bawang
,18.12.09,9 Batu Putih,,,,,,10,,,"Pemekaran sebagian Kec. Gunung Terang, Perda No. 1/2016"
,18.13,13 KAB. PESISIR BARAT,Krui,,,11,2,116,2.940,167.339,"Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,18.13.01,1 Pesisir Tengah,,,,,2,6,,,"Semula wil Kab. Lampung Barat, sesuai UU No. 18/2013"
,18.13.02,2 Pesisir Selatan,,,,,,15,,,"Semula wil Kab. Lampung Barat, sesuai UU No. 18/2013"
,18.13.03,3 Lemong,,,,,,13,,,"Semula wil Kab. Lampung Barat, sesuai UU No. 18/2013"
,18.13.04,4 Pesisir Utara,,,,,,12,,,"Semula wil Kab. Lampung Barat, sesuai UU No. 18/2013"
,18.13.05,5 Karya Penggawa,,,,,,12,,,"Semula wil Kab. Lampung Barat, sesuai UU No. 18/2013"
