K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
92.09.18.2008,,,,,,6 Resye,,"Prbhan nama Kp. Saubeba menjadi Kp. Resye Perda No. 4/2017 Srt
pernyataan Bpt Tgl 26 Feb'2018, Semula wilkec Abun Perda No
4/2017"
92.09.19,,,,19Wilhem Roumbouts,-,4,,Pemekaran sebagian wil Kecamatan Miyah Perda No 16 tahun 2011
92.09.19.2001,,,,,,1 Tabamsere,,"Semula Wil Kecamatan Miyah , Perda No 16/2011"
92.09.19.2002,,,,,,2 Sayam,,"Pemekaran sebagian wil Desa Siakwa, Perda No 15 tahun 2011.
Semula Wil Kecamatan Miyah , Perda No 16/2011"
92.09.19.2003,,,,,,3 Araf Mafat,,"Pemekaran sebagian wil Desa Tabamsere Perda No 15 tahun 2011.
Semula Wil Kecamatan Miyah , Perda No 16/2011"
92.09.19.2004,,,,,,4 Esyuom,,"Pemekaran sebagian wil Desa Tabamsere Perda No 15 tahun 2011.
Semula Wil Kecamatan Miyah , Perda No 16/2011"
92.09.20,,,,20Tinggouw,-,5,,Pemekaran sebagian wil Kecamatan Fef Perda No 16 tahun 2011
92.09.20.2001,,,,,,1 Tinggouw,,"Pemekaran sebagian Wil Desa Soon Perda No 15 tahun 2011. Semula
Wil Kecamatan Syujak , Perda No 16/2011"
92.09.20.2002,,,,,,2 Hohair,,"Pemekaran sebagian Wil Desa Soon Perda No 15 tahun 2011. Semula
Wil Kecamatan Syujak , Perda No 16/2011"
92.09.20.2003,,,,,,3 Ruriai,,"Pemekaran sebagian Wil Desa Soon Perda No 15 tahun 2011. Semula
Wil Kecamatan Syujak , Perda No 16/2011"
92.09.20.2004,,,,,,4 Soon,,Perda No. 28/2008. Semula Wil Kec Syujak Perda No 16/2011
92.09.20.2005,,,,,,5 Ifatkan,,Pemekaran Desa Soon Perda No. 16/2013
92.09.21,,,,21Kwesefo,-,9,,Pemekaran sebagian wil Kecamatan Kwoor Perda No 16 tahun 2011
92.09.21.2001,,,,,,1 Jokbujoker,,"Pemekaran sebagian wil Desa Batde Perda No 15 tahun 2011. Semula
Wil Kecamatan Kwoor , Perda No 16/2011"
92.09.21.2002,,,,,,2 Kranfotsu,,"Perda No. 22/2008 dari Kab. Sorong. Semula Wil Kecamatan Kwoor ,
Perda No 16/2011"
92.09.21.2003,,,,,,3 Syuau,,"Semula Wil Kecamatan Kwoor , Perda No 16/2011"
92.09.21.2004,,,,,,4 Kwesefo,,Semula Wil Kec Kwoor Perda No 16/2011
92.09.21.2005,,,,,,5 Batdey,,Semula Wil Kec Kwoor Perda No 16/2011
92.09.21.2006,,,,,,6 Syumbi,,"Pemekaran sebagian wil Desa Batde Perda No 15 tahun 2011. Semula
Wil Kec Kwoor Perda No 16/2011"
92.09.21.2007,,,,,,7 Bao,,"Pemekaran sebagian wil Desa Batde Perda No 15 tahun 2011. Semula
Wil Kec Kwoor Perda No 16/2011"
92.09.21.2008,,,,,,8 Donan,,"Pmkran sbgian wilDes Kwesefo, Perda No 15/2011. Semula WilKec
Kwoor Perda No 16/2011, Semula wilkec Tobouw Perda No 4/2017"
92.09.21.2009,,,,,,9 Dombron,,Semula wilkec Tobouw Perda No. 4/2017
92.09.22,,,,22Mawabuan,-,6,,Pemekaran wil Kec Senopi Perda No 14/2012
92.09.22.2001,,,,,,1 Wausin,,"Semula wil. Kab. Manokwari Putusan MK No.127/PUU-VII/2009
Tanggal 25 Januari 2010. Semula Wil Kec Senopi Perda No 14/2012"
92.09.22.2002,,,,,,2 Asiti,,"Pemekaran sebagian wil Desa Wausin Perda No 16 tahun 2011.
Semula Wil Kec Senopi Perda No 14/2012"
92.09.22.2003,,,,,,3 Bisaud,,"Pemekaran sebagian wil Desa Wausin Perda No 16 tahun 2011.
Semula Wil Kec Senopi Perda No 14/2012"
,,,,,,Wufmana,,Menjadi wilkec Irenes Perda No 4/2017
92.09.22.2005,,,,,,4 Nisandauw,,"Pemekaran sebagian wil Desa Afrawi Perda No 16/2011. Semula Wil
Kec Senopi Perda No 14/2012"
,,,,,,,,
