NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,13.08.07,7 Panti,,,,,,4,,,
,13.08.08,8 Mapat Tunggul,,,,,,4,,,
,,Kinali,,,,,,,,,"Menjadi wil Kab. Pasaman Barat, UU No. 38 / 2003"
,,Gunung Tuleh,,,,,,,,,"Menjadi wil Kab. Pasaman Barat, UU No. 38 / 2003"
,,Ranah Batahan,,,,,,,,,"Menjadi wil Kab. Pasaman Barat, UU No. 38 / 2003"
,13.08.12,12 Duo Koto,,,,,,7,,,
,13.08.13,13 Tigo Nagari,,,,,,5,,,
,13.08.14,14 Rao,,,,,,5,,,
,13.08.15,15 Mapat Tunggul Selatan,,,,,,2,,,
,13.08.16,16 Simpang Alahan Mati,,,,,,4,,,Perda No. 5 / 2004
,13.08.17,17 Padang Gelugur,,,,,,4,,,Perda No. 6 / 2004
,13.08.18,18 Rao Utara,,,,,,3,,,Perda No. 7 / 2004
,13.08.19,19 Rao Selatan,,,,,,6,,,Perda No.8 / 2004
,13.09,9 KAB. KEPULAUAN MENTAWAI,Tuapejat,,,10,0,43,5.983,91.694,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas darat dengan kab/kota lainnya)"
,13.09.01,1 Pagai Utara,,,,,,3,,,
,13.09.02,2 Sipora Selatan,,,,,,7,,,
,13.09.03,3 Siberut Selatan,,,,,,5,,,
,13.09.04,4 Siberut Utara,,,,,,6,,,
,13.09.05,5 Siberut Barat,,,,,,3,,,
,13.09.06,6 Siberut Barat Daya,,,,,,3,,,
,13.09.07,7 Siberut Tengah,,,,,,3,,,
,13.09.08,8 Sipora Utara,,,,,,6,,,
,13.09.09,9 Sikakap,,,,,,3,,,
,13.09.10,10 Pagai Selatan,,,,,,4,,,
,13.10,10 KAB. DHARMASRAYA,Pulau Punjung,,,11,0,52,2.921,228.801,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,13.10.01,1 Koto Baru,,,,,,4,,,
,13.10.02,2 Pulau Punjung,,,,,,6,,,
,13.10.03,3 Sungai Rumbai,,,,,,4,,,
,13.10.04,4 Sitiung,,,,,,4,,,
,13.10.05,5 Sembilan Koto,,,,,,4,,,
,13.10.06,6 Timpeh,,,,,,5,,,
,13.10.07,7 Koto Salak,,,,,,5,,,
