NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,16.01.31,31 Muara Jaya,,,,,,7,,,Perda No. 7/2008
,16.01.32,32 Kedaton Peninjauan Raya,,,,,,8,,,"Pemekaran sebagian wil Kec. Peninjauan, Perda No. 11/2015"
,16.02,2 KAB. OGAN KOMERING ILIR,Kayu Agung,,,18,13,314,17.071,755.494,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,Muara Kuang,,,,,,,,,"Menjadi wil.Kab Ogan Ilir, UU No. 37/2003"
,16.02.02,2 Tanjung Lubuk,,,,,1,21,,,
,16.02.03,3 Pedamaran,,,,,,14,,,
,16.02.04,4 Mesuji,,,,,,17,,,
,16.02.05,5 Kayu Agung,,,,,11,14,,,
,,Tanjung Batu,,,,,,,,,"Menjadi wil. Kab. Ogan Ilir, UU No. 37/2003"
,,Tanjung Raja,,,,,,,,,"Menjadi wil. Kab. Ogan Ilir, UU No. 37/2003"
,16.02.08,8 Sirah Pulau Padang,,,,,,20,,,
,,Indralaya,,,,,,,,,"Menjadi wil. Kab. Ogan Ilir, UU No. 37/2003"
,,Pemulutan,,,,,,,,,"Menjadi wil. Kab. Ogan Ilir, UU No. 37/2003"
,16.02.11,11 Tulung Selapan,,,,,1,22,,,
,16.02.12,12 Pampangan,,,,,,22,,,
,16.02.13,13 Lempuing,,,,,,19,,,
,16.02.14,14 Air Sugihan,,,,,,19,,,
,16.02.15,15 Sungai Menang,,,,,,18,,,"Perubahan nama Kec. Pematang Panggang, Perda No. 5/2005"
,,Rantau Alai,,,,,,,,,"Menjadi wil. Kab. Ogan Ilir, UU No. 37/2003"
,16.02.17,17 Jejawi,,,,,,19,,,
,16.02.18,18 Cengal,,,,,,17,,,
,16.02.19,19 Pangkalan Lampam,,,,,,19,,,Perda No. 5/2005
,16.02.20,20 Mesuji Makmur,,,,,,19,,,Perda No. 5/2005
,16.02.21,21 Mesuji Raya,,,,,,17,,,Perda No. 5/2005
,16.02.22,22 Lempuing Jaya,,,,,,16,,,Perda No. 5/2005
,16.02.23,23 Teluk Gelam,,,,,,14,,,Perda No. 5/2005
,16.02.24,24 Pedamaran Timur,,,,,,7,,,Perda No. 5/2005
,16.03,3 KAB. MUARA ENIM,Muara Enim,,,22,10,245,6.764,622.337,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,16.03.01,1 Tanjung Agung,,,,,,14,,,
,16.03.02,2 Muara Enim,,,,,6,10,,,
,16.03.03,3 Rambang Niru,,,,,,16,,,"Perubahan nama Kec. Rambang Dangku, Perda No. 10/2018"
,16.03.04,4 Gunung Megang,,,,,,13,,,
,16.03.06,5 Gelumbang,,,,,1,22,,,Perda No.18/2005
