NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,33.22.08,8 Jambu,,,,,1,9,,,
,33.22.09,9 Sumowono,,,,,,16,,,
,33.22.10,10 Ambarawa,,,,,8,2,,,
,33.22.11,11 Bawen,,,,,2,7,,,
,33.22.12,12 Bringin,,,,,,16,,,
,33.22.13,13 Bergas,,,,,4,9,,,
,33.22.15,14 Pringapus,,,,,1,8,,,
,33.22.16,15 Bancak,,,,,,9,,,
,33.22.17,16 Kaliwungu,,,,,,11,,,
,33.22.18,17 Ungaran Barat,,,,,5,6,,,
,33.22.19,18 Ungaran Timur,,,,,5,5,,,
,33.22.20,19 Bandungan,,,,,1,9,,,"Perda, No. 1/2006"
,33.23,23 KAB. TEMANGGUNG,Temanggung,,,20,23,266,865,801.267,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,33.23.01,1 Bulu,,,,,,19,,,
,33.23.02,2 Tembarak,,,,,,13,,,
,33.23.03,3 Temanggung,,,,,19,6,,,
,33.23.04,4 Pringsurat,,,,,,14,,,
,33.23.05,5 Kaloran,,,,,,14,,,
,33.23.06,6 Kandangan,,,,,,16,,,
,33.23.07,7 Kedu,,,,,,14,,,
,33.23.08,8 Parakan,,,,,2,14,,,
,33.23.09,9 Ngadirejo,,,,,1,19,,,
,33.23.10,10 Jumo,,,,,,13,,,
,33.23.11,11 Tretep,,,,,,11,,,
,33.23.12,12 Candiroto,,,,,,14,,,
,33.23.13,13 Kranggan,,,,,1,12,,,
,33.23.14,14 Tlogomulyo,,,,,,12,,,
,33.23.15,15 Selopampang,,,,,,12,,,
,33.23.16,16 Bansari,,,,,,13,,,
,33.23.17,17 Kledung,,,,,,13,,,
,33.23.18,18 Bejen,,,,,,14,,,
,33.23.19,19 Wonoboyo,,,,,,13,,,
,33.23.20,20 Gemawang,,,,,,10,,,
