K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12,SUMATERA UTARA,,,,,,,
12.10,KAB. LABUHANBATU,,,9,23,75,"2.772,384","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
12.10.01,,,,1Rantau Utara,10,-,,
12.10.01.1001,,,,,1Padang Matinggi,,,
12.10.01.1002,,,,,2Siringo-Ringo,,,
12.10.01.1003,,,,,3Sirandorung,,,
12.10.01.1004,,,,,4Rantauprapat,,,
12.10.01.1005,,,,,5Kartini,,,
12.10.01.1006,,,,,6Cendana,,,
12.10.01.1007,,,,,7Binaraga,,,
12.10.01.1008,,,,,8Pulo Padang,,,
12.10.01.1009,,,,,9Padang Bulan,,,
12.10.01.1010,,,,,10Aek Paing,,,
12.10.02,,,,2Rantau Selatan,9,-,,
12.10.02.1001,,,,,1Bakaran Batu,,,
12.10.02.1002,,,,,2Sioldengan,,,
12.10.02.1003,,,,,3Urung Kompas,,,
12.10.02.1004,,,,,4Ujung Bandar,,,
12.10.02.1005,,,,,5Sigambal,,,
12.10.02.1006,,,,,6Lobusona,,,
12.10.02.1007,,,,,7Pardamean,,,
12.10.02.1008,,,,,8Danau Bale,,,
12.10.02.1009,,,,,9Sidorejo,,,
,,,,Kualuh Hulu,,,,"Menjadi wil. Kab. Labuhanbatu Utara, UU No. 23/2008"
,,,,,Aek Kanopan,,,
,,,,,Aek Kanopan Timur,,,
,,,,,,Kuala Beringin,,
,,,,,,Parpaudangan,,
,,,,,,Pulo Dogom,,
,,,,,,Perkebunan Londut,,
,,,,,,Perk. Kanopan Ulu,,
,,,,,,Perk. Mambang Muda,,
,,,,,,Perk. Labuhan Haji,,
,,,,,,Perkebunan Hanna,,
,,,,,,Sonomartani,,
,,,,,,Sukarame,,
,,,,,,Sukarame Baru,,
,,,,,,,,
