NO,KODE,"P R O V I N S I
*)",J U M L A H,,,,,"LUAS
WILAYAH
(Km2)
**)","JUMLAH
PENDUDUK
(Jiwa)
***)","JUMLAH
PULAU (****)"
,,,KAB,KOTA,KEC,KEL,DESA,,,
1,2,3,4,5,6,7,8,9,10,11
"23
24
25
26
27
28
29
30
31
32
33
34
35
36
37","64
65
71
72
73
74
75
76
81
82
91
92
93
94
95","KALIMANTAN TIMUR
KALIMANTAN UTARA
SULAWESI UTARA
SULAWESI TENGAH
SULAWESI SELATAN
SULAWESI TENGGARA
GORONTALO
SULAWESI BARAT
MALUKU
MALUKU UTARA
P A P U A
PAPUA BARAT
PAPUA SELATAN
PAPUA TENGAH
PAPUA PEGUNUNGAN","7
4
11
12
21
15
5
6
9
8
8
12
4
8
8","3
1
4
1
3
2
1
0
2
2
1
1
0
0
0","105
55
171
175
313
221
77
69
118
118
105
218
82
131
252","197
35
332
175
793
379
72
73
35
118
51
95
13
36
10","841
447
1.507
1.842
2.266
1.908
657
575
1.200
1.067
948
1.742
677
1.172
2.617","126.981,279
70.101,184
14.500,275
61.605,718
45.330,550
36.159,713
12.025,147
16.594,749
46.158,267
32.998,696
82.680,958
99.398,258
117.849,159
61.072,913
51.213,330","3.891.849
709.620
2.664.313
3.074.958
9.255.930
2.690.791
1.203.921
1.447.186
1.886.735
1.337.368
1.036.568
1.161.028
516.075
1.346.685
1.457.696","243
196
353
1,572
370
590
127
69
1,388
901
527
4,520
7
50
0"
,,J U M L A H,416,98,7.277,8.498,75.265,"1.892.410,091",275.361.267,17.001
