NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XXXIII,91,P A P U A,,8,1,105,51,948,82.681,1.036.568,
,91.01,1 KAB. MERAUKE,Merauke,,,,,,,,"Luas Wilayah Indikatif sesuai Surat Badan Informasi Geospasial No.
B-8.31/PBW-BIG/IGD.04.04/6/2021 Tanggal 8 Juni 2021"
,,Animha,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Elikobal,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Ilwayab,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Jagebob,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Kaptel,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Kimaam,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Ngguti,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Okaba,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Padua,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Semangga,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Sota,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Tabonji,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Kontuar,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Kurik,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Malind,,,,,,,,,"Menjadi wil. Prov Papua Selatan; UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Merauke,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang"
