K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
82.01.08.2011,,,,,,11 Sarau,,Semula wil. Kec. Ibu
82.01.08.2012,,,,,,12 Ngawet,,Semula wil. Kec. Ibu
82.01.08.2013,,,,,,13 Adu,,Semula wil. Kec. Ibu
82.01.08.2014,,,,,,14 Gamsida,,Pemekaran Desa Baru Perda No. 10/2012
82.01.08.2015,,,,,,15 Ngalo Ngalo,,Pemekaran Desa Baru Perda No. 10/2012
82.01.08.2016,,,,,,16 Tuguaer,,Pemekaran Desa Tosoa Perda No. 10/2012
82.01.09,,,,8Sahu Timur,-,18,,Perda No. 7/2005
82.01.09.2001,,,,,,1 Loce,,Semula wil. Kec. Sahu
82.01.09.2002,,,,,,2 Idam Gamlamo,,Semula wil. Kec. Sahu
82.01.09.2003,,,,,,3 Gamomeng,,Semula wil. Kec. Sahu
82.01.09.2004,,,,,,4 Akelamo,,Semula wil. Kec. Sahu
82.01.09.2005,,,,,,5 Taraudu Kusu,,Semula wil. Kec. Sahu
82.01.09.2006,,,,,,6 Awer,,Semula wil. Kec. Sahu
82.01.09.2007,,,,,,7 Aketola,,Semula wil. Kec. Sahu
82.01.09.2008,,,,,,8 Tibobo,,Semula wil. Kec. Sahu
82.01.09.2009,,,,,,9 Hoku- hoku Gam,,Semula wil. Kec. Sahu
82.01.09.2010,,,,,,10 Gamiyel,,Semula wil. Kec. Sahu
82.01.09.2011,,,,,,11 Golago Kusuma,,Semula wil. Kec. Sahu
82.01.09.2012,,,,,,12 Ngaon,,Semula wil. Kec. Sahu
82.01.09.2013,,,,,,13 Gamsugi,,Semula wil. Kec. Sahu
82.01.09.2014,,,,,,14 Taba Campaka,,Semula wil. Kec. Sahu
82.01.09.2015,,,,,,15 Campaka,,Semula wil. Kec. Sahu
82.01.09.2016,,,,,,16 Goal,,Semula wil. Kec. Sahu
82.01.09.2017,,,,,,17 Sidodadi,,Pemekaran Desa Golago Kusuma Perda No. 9/2012
82.01.09.2018,,,,,,18 Air Panas,,Pemekaran Desa Golago Kusuma Perda No. 9/2012
82.01.10,,,,9Loloda Tengah,-,10,,"Pemekaran dari bagian wil Kec. Loloda sesuai Perda No. 2/2020
tentang Pembentukan Kec. Loloda Tengah Kab. Halbar."
82.01.10.2001,,,,,,1 Jano,,Semula wil. Kec. Loloda.
82.01.10.2002,,,,,,2 Jangailulu,,"Semula wil. Kec. Loloda.
Perbaikan nama dari Jangailili menjadi Jangailulu sesuai surat Bupati
Halmahera Barat No. 140/328/2020 tanggal 8 Juni 2020."
82.01.10.2003,,,,,,3 Baja,,Semula wil. Kec. Loloda.
82.01.10.2004,,,,,,4 Gam Kahe,,Semula wil. Kec. Loloda.
82.01.10.2005,,,,,,5 Barataku,,Semula wil. Kec. Loloda.
82.01.10.2006,,,,,,6 Pumadada,,"Semula wil. Kec. Loloda.
Perbaikan nama dari Pumadadar menjadi Pumadada sesuai surat
Bupati Halmahera Barat No. 140/328/2020 tanggal 8 Juni 2020."
82.01.10.2007,,,,,,7 Tosomolo,,Semula wil. Kec. Loloda.
82.01.10.2008,,,,,,8 Bilote,,Semula wil. Kec. Loloda.
82.01.10.2009,,,,,,9 Bakun Pantai,,"Semula wil. Kec. Loloda.
Perbaikan nama dari Bakun Pante menjadi Bakun Pantai sesuai surat
Bupati Halmahera Barat No. 140/328/2020 tanggal 8 Juni 2020."
,,,,,,,,
