NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,73.16.10,10 Buntu Batu,,,,,,8,,,
,73.16.11,11 Masalle,,,,,,6,,,
,73.16.12,12 Baroko,,,,,,5,,,"PMD, Perda No. 35 Tahun 2007"
,73.17,17 KAB. LUWU,Belopa,,,22,20,207,2.902,373.656,"PP. No. 80/2005 (pemindahan Ibukota).
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.17.01,1 Basse Sangtempe,,,,,,12,,,
,73.17.02,2 Larompong,,,,,1,12,,,
,73.17.03,3 Suli,,,,,1,12,,,
,73.17.04,4 Bajo,,,,,1,11,,,
,73.17.05,5 Bua Ponrang,,,,,1,9,,,
,73.17.06,6 Walenrang,,,,,1,8,,,
,73.17.07,7 Belopa,,,,,4,5,,,
,73.17.08,8 Bua,,,,,1,14,,,
,73.17.09,9 Lamasi,,,,,1,9,,,
,73.17.10,10 Larompong Selatan,,,,,1,9,,,
,73.17.11,11 Ponrang,,,,,2,8,,,
,73.17.12,12 Latimojong,,,,,,12,,,
,73.17.13,13 Kamanre,,,,,1,7,,,
,73.17.14,14 Belopa Utara,,,,,2,6,,,
,73.17.15,15 Walenrang Barat,,,,,,6,,,
,73.17.16,16 Walenrang Utara,,,,,1,10,,,
,73.17.17,17 Walenrang Timur,,,,,,8,,,
,73.17.18,18 Lamasi Timur,,,,,,9,,,
,73.17.19,19 Suli Barat,,,,,1,7,,,
,73.17.20,20 Bajo Barat,,,,,,9,,,
,73.17.21,21 Ponrang Selatan,,,,,1,12,,,
,73.17.22,22 Basse Sangtempe Utara,,,,,,12,,,"Pemekaran sebagian Kec. Basse Sangtempe, Perda No. 1/2012"
,73.18,18 KAB. TANA TORAJA,Makale,,,19,47,112,2.044,270.984,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.18.01,1 Saluputi,,,,,1,8,,,SK. Gub No. 2067A Th. 1961
,73.18.02,2 Bittuang,,,,,1,14,,,Perda No. 18/2000
,73.18.03,3 Bonggakaradeng,,,,,1,5,,,SK Gub. No. 2067A Th 1961
,73.18.05,4 Makale,,,,,14,1,,,SK Gub. No. 2067A Th 1961
,73.18.09,5 Simbuang,,,,,1,5,,,Perda No. 18/2000
