NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,,Pirime,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Poga,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Tiom,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Tiom Ollo,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Tiomneri,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Melagineri,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Milimbo,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Mokoni,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Muara,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Nikogwe,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Niname,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Kolawa,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Kuly Lanny,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Kuyawage,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Lannyna,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Makki,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Melagi,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Goa Balim,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Gollo,,,,,,,,,Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
