NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,74,SULAWESI TENGGARA,3,
1,74.01,KAB. KOLAKA,14,
2,74.02,KAB. KONAWE,7,
3,74.03,KAB. MUNA,198,
4,74.04,KAB. BUTON,46,
5,74.05,KAB. KONAWE SELATAN,28,
6,74.06,KAB. BOMBANA,26,
7,74.07,KAB. WAKATOBI,142,
8,74.08,KAB. KOLAKA UTARA,12,
9,74.09,KAB. KONAWE UTARA,70,
10,74.10,KAB. BUTON UTARA,31,
11,74.12,KAB. KONAWE KEPULAUAN,2,
12,74.13,KAB. MUNA BARAT,1,
13,74.14,KAB. BUTON TENGAH,4,
14,74.71,KOTA KENDARI,1,
15,74.72,KOTA BAU BAU,5,
,,TOTAL,590,
