K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
18.07.13.2009,,,,,,9 Gedung Dalem,,
18.07.13.2010,,,,,,10 Bumi Jawa,,
18.07.13.2011,,,,,,11 Gunung Tiga,,
18.07.13.2012,,,,,,12 Negara Ratu,,
18.07.13.2013,,,,,,13 Sukacari,,
18.07.14,,,,14Bumi Agung,-,7,,
18.07.14.2001,,,,,,1 Donomulyo,,"Koreksi nama, ND Rekom No 140/4495/BPD tanggal 29 Juni 2016"
18.07.14.2002,,,,,,2 Nyampir,,
18.07.14.2003,,,,,,3 Bumi Tinggi,,
18.07.14.2004,,,,,,4 Lehan,,
18.07.14.2005,,,,,,5 Marga Mulya,,
18.07.14.2006,,,,,,6 Catur Swako,,
18.07.14.2007,,,,,,7 Mulyo Asri,,"Pemekaran sebagian Desa Donomulyo, Perda No. 4/2011"
18.07.15,,,,15Bandar Sribhawono,-,7,,
18.07.15.2001,,,,,,1 Sribhawono,,
18.07.15.2002,,,,,,2 Sadar Sriwijaya,,
18.07.15.2003,,,,,,3 Srimenanti,,
18.07.15.2004,,,,,,4 Sripendowo,,
18.07.15.2005,,,,,,5 Waringin Jaya,,
18.07.15.2006,,,,,,6 Bandar Agung,,
18.07.15.2007,,,,,,7 Mekar Jaya,,Perda No. 20/2007
18.07.16,,,,16Mataram Baru,-,7,,
18.07.16.2001,,,,,,1 Mataram Baru,,
18.07.16.2002,,,,,,2 Rajabasa Baru,,
18.07.16.2003,,,,,,3 Teluk Dalem,,
18.07.16.2004,,,,,,4 Way Areng,,
18.07.16.2005,,,,,,5 Tulung Pasik,,
18.07.16.2006,,,,,,6 Mandala Sari,,
18.07.16.2007,,,,,,7 Kebon Damar,,
18.07.17,,,,17Melinting,-,6,,
18.07.17.2001,,,,,,1 Wana,,
18.07.17.2002,,,,,,2 Tanjung Aji,,
18.07.17.2003,,,,,,3 Tebing,,
18.07.17.2004,,,,,,4 Sido Makmur,,
18.07.17.2005,,,,,,5 Itik Renday,,
18.07.17.2006,,,,,,6 Sumber Hadi,,
18.07.18,,,,18Gunung Pelindung,-,5,,
18.07.18.2001,,,,,,1 Negeri Agung,,
18.07.18.2002,,,,,,2 Pempen,,
18.07.18.2003,,,,,,3 Way Mili,,
