K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
76,SULAWESI BARAT,,,,,,,
76.02,KAB. MAMUJU,,,11,13,88,"4.942,252","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
76.02.01,,,,1Mamuju,4,4,,
,,,,,Simboro,,,Menjadi wil Kec Simboro & Kepulauan Perda No. 12/2002
76.02.01.1002,,,,,1Binanga,,,
76.02.01.1003,,,,,2Mamunyu,,,
,,,,,Rangas,,,Menjadi wil Kec Simboro & Kepulauan Perda No. 12/2002
76.02.01.2005,,,,,,1 Bambu,,
76.02.01.2006,,,,,,2 Karampuang,,
,,,,,,Botteng,,Menjadi Wil Kec Simboro & Kepulauan Perda No. 12/2002
,,,,,,Saletto,,Menjadi wil Kec Simboro & Kepulauan Perda No. 12/2002
,,,,,,Sumare,,Menjadi wil Kec Simboro & Kepulauan Perda No. 12/2002
76.02.01.2010,,,,,,3 Tadui,,
,,,,,,Bala Balakang,,Menjadi wil. Kec. Simboro & Kepulauan Perda No. 12/2002
76.02.01.1012,,,,,3Karema,,,Perda No. 5/2005
76.02.01.1013,,,,,4Rimuku,,,Perda No. 5/2005
76.02.01.2014,,,,,,4 Batu Pannu,,Perda No. 2/2008
76.02.02,,,,2Tapalang,3,7,,
76.02.02.1001,,,,,1Galung,,,
76.02.02.1002,,,,,2Kasambang,,,
76.02.02.2003,,,,,,1 Orobatu,,
,,,,,,Dungkait,,Menjadi wil Kec Tapalang Barat Perda No. 12/2002
,,,,,,Lebani,,Menjadi wil Kec Tapalang Barat Perda No. 12/2002
76.02.02.2006,,,,,,2 Takandeang,,
,,,,,,Labuang Rano,,Menjadi wil Kec Tapalang Barat Perda No. 12/2002
,,,,,,Pasabu,,Menjadi wil Kec Tapalang Barat Perda No. 12/2002
76.02.02.2009,,,,,,3 Bela,,
76.02.02.2010,,,,,,4 Taan,,
76.02.02.2011,,,,,,5 Tampalang,,Perda No. 2/2008
76.02.02.2012,,,,,,6 Rantedoda,,Perda No. 2/2008
76.02.02.2013,,,,,,7 Kopeang,,Perda No. 2/2008
76.02.02.1014,,,,,3Dayanginna,,,"Pemekaran sebagian wil Kel. Galung, Perda No.5/2015 dan ND
Dir.Dekonsentrasi, TP dan Kerjasama No 705 tgl 10 Juli 2017"
76.02.03,,,,3Kalukku,4,10,,
76.02.03.1001,,,,,1Sinyonyoi,,,
76.02.03.1002,,,,,2Bebanga,,,
76.02.03.1003,,,,,3Kalukku,,,Perubahan status Perda No 4/2011
,,,,,,,,
