Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
21.71.40025,Pulau Anak Pulau,,"00°58'23.00"" U 103°48'24.00"" T",TBP
21.71.40026,Pulau Anak Pulau Manis,,"01°07'58.21"" U 103°52'15.89"" T",
21.71.40027,Pulau Anak Pulau Tanjung Panah,,"01°06'36.52"" U 103°47'30.93"" T",
21.71.40028,Pulau Anak Sambu,,"01°10'13.00"" U 103°53'29.00"" T",BP
21.71.40029,Pulau Anak Segayang,,"00°37'53.00"" U 104°02'03.00"" T",TBP
21.71.40030,Pulau Anak Telukdalam,,"01°02'45.49"" U 103°53'16.40"" T",
21.71.40031,Pulau Ara,,"01°04'53.81"" U 103°50'04.07"" T",
21.71.40032,Pulau Arus Kencang,,"01°06'58.00"" U 103°54'20.00"" T",TBP
21.71.40033,Pulau Asah Besar,,"00°58'45.99"" U 104°04'32.00"" T",TBP
21.71.40034,Pulau Asah Kecil,,"00°59'08.00"" U 104°04'18.99"" T",TBP
21.71.40035,Pulau Asam,,"01°05'12.99"" U 103°49'26.00"" T",TBP
21.71.40036,Pulau Aur,,"00°58'26.00"" U 104°01'48.00"" T",BP
21.71.40037,Pulau Awe,,"00°58'22.00"" U 104°06'40.00"" T",TBP
21.71.40038,Pulau Aweng,,"00°54'15.00"" U 103°56'57.00"" T",BP
21.71.40039,Pulau Babi,,"00°57'47.00"" U 104°04'22.00"" T",TBP
21.71.40040,Pulau Badas,,"00°54'42.49"" U 103°48'25.38"" T",TBP
21.71.40041,Pulau Baka,,"01°06'52.99"" U 103°54'29.99"" T",TBP
21.71.40042,Pulau Bama,,"00°56'11.37"" U 104°08'49.61"" T",TBP
21.71.40043,Pulau Baralukut,,"00°38'08.54"" U 104°14'37.37"" T",TBP
21.71.40044,Pulau Batam,,"01°05'15.00"" U 104°01'10.99"" T",BP
21.71.40045,Pulau Batu,,"01°05'24.00"" U 103°53'03.00"" T",TBP
21.71.40046,Pulau Batu Ampar,,"01°03'41.00"" U 103°49'08.00"" T",TBP
21.71.40047,Pulau Batu Besar,,"01°09'41.10"" U 104°09'03.23"" T",
21.71.40048,Pulau Batu Keling,,"01°00'24.04"" U 103°49'43.79"" T",
21.71.40049,Pulau Batu Majid,,"01°04'18.99"" U 103°49'41.00"" T",TBP
21.71.40050,Pulau Batuberantai,,"01°11'35.00"" U 103°52'37.99"" T",TBP (PPKT)
21.71.40051,Pulau Bayan,,"00°55'58.56"" U 103°48'33.19"" T",TBP
21.71.40052,Pulau Bedara,,"00°54'59.00"" U 103°54'14.00"" T",TBP
21.71.40053,Pulau Bedempan,,"00°39'49.00"" U 104°14'34.00"" T",TBP
21.71.40054,Pulau Bekaul,,"00°52'12.75"" U 104°14'29.82"" T",TBP
21.71.40055,Pulau Belakang Padang,,"01°09'00.22"" U 103°53'27.14"" T",BP
21.71.40056,Pulau Belakang Sidi,,"00°57'43.99"" U 103°59'17.99"" T",TBP
21.71.40057,Pulau Berang,,"00°56'22.44"" U 103°50'07.28"" T",TBP
21.71.40058,Pulau Bertam,,"01°04'23.00"" U 103°51'47.99"" T",BP
21.71.40059,Pulau Berunok,,"00°58'27.00"" U 103°48'51.99"" T",TBP
21.71.40060,Pulau Betina Besar,,"01°03'23.00"" U 103°49'18.00"" T",TBP
21.71.40061,Pulau Betina Kecil,,"01°03'28.00"" U 103°49'27.00"" T",TBP
21.71.40062,Pulau Biawak Besar,,"00°55'09.42"" U 103°56'44.32"" T",TBP
21.71.40063,Pulau Biawak Kecil,,"00°55'19.23"" U 103°56'45.23"" T",TBP
21.71.40064,Pulau Bilis,,"00°46'50.00"" U 104°10'46.99"" T",TBP
