NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,,Mapia Barat,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Mapia Tengah,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Piyaiye,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,91.27,27 KAB. INTAN JAYA,Sugapa,,,,,,,,"Luas Wilayah Indikatif sesuai Surat Badan Informasi Geospasial No
B-8.31/PBW-BIG/IGD.04.04/6/2021 Tanggal 8 Juni 2021"
,,Agisiga,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Biandoga,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Hitadipa,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Homeyo,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Sugapa,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Tomosiga,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Ugimba,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Wandai,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,91.28,28 KAB. DEIYAI,Tigi,,,1,0,0,2.846,91.460,"Luas Wilayah Indikatif sesuai Surat Badan Informasi Geospasial No
B-8.31/PBW-BIG/IGD.04.04/6/2021 Tanggal 8 Juni 2021"
,,Bowobado,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Kapiraya,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Tigi Barat,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Tigi Timur,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,91.28.01,5 Tigi,,,,,,,,,Semula wil. Kab. Paniai
,91.71,29 KOTA JAYAPURA,Jayapura,,,5,25,14,835,368.578,"Luas WilayahDefinitif, PBW,sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,91.71.01,1 Jayapura Utara,,,,,7,1,,,
