NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,32.14.02,2 Campaka,,,,,,10,,,
,32.14.03,3 Jatiluhur,,,,,,10,,,
,32.14.04,4 Plered,,,,,,16,,,
,32.14.05,5 Sukatani,,,,,,14,,,
,32.14.06,6 Darangdan,,,,,,15,,,
,32.14.07,7 Maniis,,,,,,8,,,
,32.14.08,8 Tegalwaru,,,,,,13,,,
,32.14.09,9 Wanayasa,,,,,,15,,,
,32.14.10,10 Pasawahan,,,,,,12,,,
,32.14.11,11 Bojong,,,,,,14,,,
,32.14.12,12 Babakancikao,,,,,,9,,,
,32.14.13,13 Bungursari,,,,,,10,,,
,32.14.14,14 Cibatu,,,,,,10,,,
,32.14.15,15 Sukasari,,,,,,5,,,
,32.14.16,16 Pondoksalam,,,,,,11,,,
,32.14.17,17 Kiarapedes,,,,,,10,,,
,32.15,15 KAB. KARAWANG,Karawang,,,30,12,297,1.914,2.462.492,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,32.15.01,1 Karawang Barat,,,,,8,,,,Perda No. 2/2005
,32.15.02,2 Pangkalan,,,,,,8,,,Perda No. 2/2005
,32.15.03,3 Telukjambe Timur,,,,,,9,,,
,32.15.04,4 Ciampel,,,,,,7,,,Perda No. 2/2005
,32.15.05,5 Klari,,,,,,13,,,Perda No. 2/2005
,32.15.06,6 Rengasdengklok,,,,,,9,,,Perda No. 2/2005
,32.15.07,7 Kutawaluya,,,,,,12,,,Perda No. 2/2005
,32.15.08,8 Batujaya,,,,,,10,,,Perda No. 2/2005
,32.15.09,9 Tirtajaya,,,,,,11,,,Perda No. 2/2005
,32.15.10,10 Pedes,,,,,,12,,,Perda No. 2/2005
,32.15.11,11 Cibuaya,,,,,,11,,,Perda No. 2/2005
,32.15.12,12 Pakisjaya,,,,,,8,,,Perda No. 2/2005
,32.15.13,13 Cikampek,,,,,,10,,,Perda No. 2/2005
,32.15.14,14 Jatisari,,,,,,14,,,Perda No. 2/2005
,32.15.15,15 Cilamaya Wetan,,,,,,12,,,Perda No. 2/2005
,32.15.16,16 Tirtamulya,,,,,,10,,,Perda No. 2/2005
,32.15.17,17 Telagasari,,,,,,14,,,Perda No. 2/2005
