Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
21.71.40345,Pulau Sawang Kecil,,"00°30'25.92"" U 104°14'54.06"" T",TBP
21.71.40346,Pulau Sawangapil,,"00°29'51.14"" U 104°15'44.75"" T",TBP
21.71.40347,Pulau Sebalai,,"01°04'07.48"" U 104°04'06.02"" T",
21.71.40348,Pulau Sebantal,,"00°47'03.99"" U 104°11'16.00"" T",TBP
21.71.40349,Pulau Sebimbing,,"00°40'38.31"" U 104°18'12.92"" T",TBP
21.71.40350,Pulau Seduduk,,"01°05'59.97"" U 103°51'21.89"" T",TBP
21.71.40351,Pulau Segayang,,"00°38'06.00"" U 104°02'21.00"" T",TBP
21.71.40352,Pulau Sekana,,"01°08'40.99"" U 103°52'45.00"" T",BP
21.71.40353,Pulau Sekatan,,"01°05'52.50"" U 103°49'30.10"" T",
21.71.40354,Pulau Sekate,,"00°34'59.00"" U 104°10'41.99"" T",BP
21.71.40355,Pulau Sekerah,,"01°00'45.00"" U 104°06'24.99"" T",TBP
21.71.40356,Pulau Sekikir,,"00°56'21.00"" U 104°00'33.99"" T",TBP
21.71.40357,Pulau Sekila,,"01°07'12.00"" U 103°53'17.00"" T",BP
21.71.40358,Pulau Sekila,,"00°59'37.00"" U 104°08'35.00"" T",TBP
21.71.40359,Pulau Selatnenek,,"00°53'58.99"" U 103°57'20.00"" T",BP
21.71.40360,Pulau Seloka,,"01°06'06.00"" U 103°54'53.00"" T",TBP
21.71.40361,Pulau Seloka Besar,,"01°06'14.99"" U 103°55'22.72"" T",
21.71.40362,Pulau Semakau Amat,,"01°05'17.90"" U 103°49'30.69"" T",
21.71.40363,Pulau Semakau Beras,,"01°05'49.20"" U 103°49'44.69"" T",
21.71.40364,Pulau Semakau Besar,,"01°05'43.00"" U 103°49'52.00"" T",BP
21.71.40365,Pulau Semakau Besar,,"01°08'10.00"" U 104°04'16.00"" T",TBP
21.71.40366,Pulau Semakau Cingam,,"01°05'37.39"" U 103°49'57.50"" T",
21.71.40367,Pulau Semakau Kecil,,"01°07'58.35"" U 104°03'45.91"" T",TBP
21.71.40368,Pulau Semakau Panjang,,"01°06'08.62"" U 103°49'25.73"" T",BP
21.71.40369,Pulau Sembur,,"00°40'50.99"" U 104°17'12.00"" T",BP
21.71.40370,Pulau Sememal,,"01°03'33.00"" U 103°48'56.99"" T",TBP
21.71.40371,Pulau Semukit,,"00°58'55.99"" U 103°48'42.99"" T",TBP
21.71.40372,Pulau Semukit,,"00°47'48.00"" U 104°12'38.00"" T",BP
21.71.40373,Pulau Semut,,"00°55'31.00"" U 104°03'07.99"" T",TBP
21.71.40374,Pulau Senyantung,,"00°46'41.00"" U 104°11'06.00"" T",TBP
21.71.40375,Pulau Sepintu Besar,,"00°31'20.64"" U 104°14'13.55"" T",TBP
21.71.40376,Pulau Sepintu Kecil,,"00°31'28.43"" U 104°14'09.74"" T",TBP
21.71.40377,Pulau Serai Cundung,,"01°02'55.00"" U 103°49'31.00"" T",TBP
21.71.40378,Pulau Serapat,,"01°05'57.00"" U 103°51'50.00"" T",TBP
21.71.40379,Pulau Serapat Malang,,"01°05'26.00"" U 103°51'45.00"" T",TBP
21.71.40380,Pulau Seraya,,"00°57'36.00"" U 103°58'46.99"" T",BP
21.71.40381,Pulau Seraya,,"01°06'56.99"" U 103°54'56.00"" T",BP
21.71.40382,Pulau Seraya,,"01°07'20.30"" U 103°54'45.00"" T",
21.71.40383,Pulau Seret,,"01°05'20.00"" U 103°51'14.00"" T",TBP
21.71.40384,Pulau Setokok,,"00°56'44.90"" U 104°03'33.90"" T",
