NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,32.02.23,23 Kalibunder,,,,,,7,,,
,32.02.24,24 Surade,,,,,1,11,,,
,32.02.25,25 Cibitung,,,,,,6,,,
,32.02.26,26 Ciracap,,,,,,8,,,
,32.02.27,27 Gunungguruh,,,,,,7,,,
,32.02.28,28 Cicantayan,,,,,,8,,,
,32.02.29,29 Cisaat,,,,,,13,,,
,32.02.30,30 Kadudampit,,,,,,9,,,
,32.02.31,31 Caringin,,,,,,9,,,
,32.02.32,32 Sukabumi,,,,,,6,,,
,32.02.33,33 Sukaraja,,,,,,9,,,
,32.02.34,34 Kebonpedes,,,,,,5,,,
,32.02.35,35 Cireunghas,,,,,,5,,,
,32.02.36,36 Sukalarang,,,,,,6,,,
,32.02.37,37 Pabuaran,,,,,,7,,,
,32.02.38,38 Purabaya,,,,,,7,,,
,32.02.39,39 Nyalindung,,,,,,10,,,
,32.02.40,40 Gegerbitung,,,,,,7,,,
,32.02.41,41 Sagaranten,,,,,,12,,,
,32.02.42,42 Curugkembar,,,,,,7,,,
,32.02.43,43 Cidolog,,,,,,5,,,
,32.02.44,44 Cidadap,,,,,,6,,,
,32.02.45,45 Tegalbuleud,,,,,,8,,,
,32.02.46,46 Cimanggu,,,,,,6,,,Perda No. 2/2006
,32.02.47,47 Ciambar,,,,,,6,,,Perda No. 2/2006
,32.03,3 KAB. CIANJUR,Cianjur,,,32,6,354,3.632,2.472.052,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,32.03.01,1 Cianjur,,,,,6,5,,,
,32.03.02,2 Warungkondang,,,,,,11,,,
,32.03.03,3 Cibeber,,,,,,18,,,
,32.03.04,4 Cilaku,,,,,,10,,,
,32.03.05,5 Ciranjang,,,,,,9,,,
,32.03.06,6 Bojongpicung,,,,,,11,,,
,32.03.07,7 Karangtengah,,,,,,16,,,
,32.03.08,8 Mande,,,,,,12,,,
