K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
14,RIAU,,,,,,,
14.08,KAB. SIAK,,,14,9,122,"7.805,538","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
14.08.01,,,,1Siak,2,6,,
14.08.01.1001,,,,,1Kampung Dalam,,,
14.08.01.1002,,,,,2Kampung Rempak,,,
14.08.01.2003,,,,,,1 Langkai,,
,,,,,,Kota Ringin,,"Menjadi wil. Kec. Mempura, Perda No.4/2005"
,,,,,,Paluh,,"Menjadi wil. Kec. Mempura, Perda No.4/2005"
,,,,,,Benteng Hilir,,"Menjadi wil. Kec. Mempura, Perda No.4/2005"
,,,,,,Benteng Hulu,,"Menjadi wil. Kec. Mempura, Perda No.4/2005"
,,,,,,Kp. Tengah,,"Menjadi wil. Kec. Mempura, Perda No.4/2005"
,,,,,,Sungai Mempura,,"Menjadi wil. Kec. Mempura, Perda No.4/2005"
,,,,,,Merempan Hilir,,"Menjadi wil. Kec. Mempura, Perda No.4/2005"
14.08.01.2011,,,,,,2 Tumang,,
14.08.01.2012,,,,,,3 Merempan Hulu,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016"
14.08.01.2013,,,,,,4 Rawang Air Putih,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.01.2014,,,,,,5 Suak Lanjut,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.01.2015,,,,,,6 Buantan Besar,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.02,,,,2Sungai Apit,1,14,,
14.08.02.1001,,,,,1Sungai Apit,,,
14.08.02.2002,,,,,,1 Teluk Lanus,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.02.2003,,,,,,2 Tanjung Kuras,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.08.02.2004,,,,,,3 Parit I/II,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,,,
